id_piece,type_piece,nom,prenoms,date_naissance,sexe,code_commune_naissance,nom_mere
AN-000043,ACTE_NAISSANCE,AKPOVI,Flore Sènami,1984-04-16,F,1105,SOSSOU Flore
PP-000044,PASSEPORT,AKPOVI,Sènami,2004-05-02,F,1105,ADANDE Rachidatou
CC-000045,CARTE_CONSULAIRE,AKPOVI,Espérance Nadège,2016-03-26,F,0203,ADANDE Nadège
AN-000046,ACTE_NAISSANCE,BONI,Codjo,2003-06-15,M,0206,AMOUSSOU Espérance
AN-000047,ACTE_NAISSANCE,BIO,Chimène,1991-06-22,F,0204,KPADONOU Flore
AN-000048,ACTE_NAISSANCE,GLELE,Ayaba,1979-09-25,F,0703,GBAGUIDI Flore
AN-000049,ACTE_NAISSANCE,AHOUANSOU,Arnaud,1975-09-13,M,0501,CODJIA Sylvie
AN-000050,ACTE_NAISSANCE,VODOUNON,Sèmèvo,1953-05-06,F,0101,OSSENI Flore
PP-000051,PASSEPORT,KOUKPAKI,Fatoumata,1993-03-03,F,0502,OSSENI Mariam
CC-000052,CARTE_CONSULAIRE,ASSOGBA,Fatoumata Rosine,2006-10-15,F,0902,KPADONOU Mariam
AN-000053,ACTE_NAISSANCE,TOGBE,Rosine,1989-06-19,F,0403,KOUKPAKI Sylvie
PP-000054,PASSEPORT,KIKI,Estelle Salamatou,1944-10-22,F,1103,ALLADAYE Mariam
AN-000055,ACTE_NAISSANCE,AHOUANSOU,Gisèle,1998-01-15,F,0408,HOUNSOU Sylvie
AN-000056,ACTE_NAISSANCE,BIO,Romaric,2009-04-15,M,1104,VODOUNON Prudence
AN-000057,ACTE_NAISSANCE,SOSSOU,Bienvenu,1999-02-17,M,0206,BIO Rosine
CC-000058,CARTE_CONSULAIRE,AHOUANSOU,Comlan,1991-09-15,M,0201,IDRISSOU Sylvie
AN-000059,ACTE_NAISSANCE,AHOUANSOU,Justin Brice,1972-02-26,M,0406,YAROU Judith
AN-000060,ACTE_NAISSANCE,HOUESSOU,Moussa Fidèle,1985-10-09,M,1005,ALLADAYE Salamatou
AN-000061,ACTE_NAISSANCE,SOSSOU,Romaric,1978-02-01,M,0701,SOULEY Salamatou
AN-000062,ACTE_NAISSANCE,ADJOVI,Yves,1970-05-09,M,0704,IDRISSOU Sèmèvo
AN-000063,ACTE_NAISSANCE,ZANNOU,Nadège,2014-04-20,F,0201,YAROU Mariam
CC-000064,CARTE_CONSULAIRE,NOUATIN,Mahougnon,1970-03-27,M,0902,HOUNKPATIN Carine
CC-000065,CARTE_CONSULAIRE,AKPOVI,Carine,1981-01-11,F,0903,DOSSOU Judith
AN-000066,ACTE_NAISSANCE,ALLADAYE,Sèmèvo Bernice,2004-03-20,F,0104,AHOUANSOU Nadège
AN-000067,ACTE_NAISSANCE,SOSSOU,Fidèle,1998-06-30,M,1202,HOUNGBO Rosine
AN-000068,ACTE_NAISSANCE,CODJIA,Nadège,1973-01-22,F,0203,VODOUNON Mariam
AN-000069,ACTE_NAISSANCE,HOUNSOU,Rodrigue,1992-08-19,M,0603,SOSSOU Chimène
AN-000070,ACTE_NAISSANCE,GBAGUIDI,Espérance,1999-08-08,F,0403,ZINSOU Nadège
CC-000071,CARTE_CONSULAIRE,IDRISSOU,Arnaud,2001-07-21,M,0606,KIKI Mariam
PP-000072,PASSEPORT,YAROU,Ayaba Salamatou,1981-09-22,F,0403,KIKI Chimène
AN-000073,ACTE_NAISSANCE,BIO,Rodrigue,1995-06-12,M,0301,FASSINOU Prudence
AN-000074,ACTE_NAISSANCE,ZANNOU,Rodrigue,1977-03-03,M,0603,CHABI Estelle
AN-000075,ACTE_NAISSANCE,LOKONON,Aïcha,1975-03-30,F,0206,AGOSSOU Chimène
AN-000076,ACTE_NAISSANCE,HOUNKPATIN,Justin,1991-07-13,M,0505,ALLADAYE Judith
AN-000077,ACTE_NAISSANCE,AMOUSSOU,Fidèle Fabrice,1988-01-01,M,0605,MENSAH Aïcha
AN-000078,ACTE_NAISSANCE,SOULEY,Rodrigue Fidèle,1995-07-09,M,0206,TOGBE Rachidatou
AN-000079,ACTE_NAISSANCE,AHOUANSOU,Comlan,1971-05-09,M,1003,DOSSOU Nadège
AN-000080,ACTE_NAISSANCE,SOULEY,Bernice,1959-04-28,F,0204,AHOUANSOU Estelle
CC-000081,CARTE_CONSULAIRE,KOUKPAKI,Koffi,2023-07-29,M,0307,TCHIBOZO Nadège
CC-000082,CARTE_CONSULAIRE,GBAGUIDI,Moussa,2016-04-03,M,0305,QUENUM Sèmèvo
AN-000083,ACTE_NAISSANCE,HOUNGBO,Sylvie Flore,2003-10-12,F,0402,AGOSSOU Ayaba
AN-000084,ACTE_NAISSANCE,AHOYO,Comlan,1979-06-09,M,0604,FASSINOU Gisèle
AN-000085,ACTE_NAISSANCE,TOSSOU,Fabrice,1990-05-29,M,0604,NOUATIN Sèmèvo
AN-000086,ACTE_NAISSANCE,AGBODJAN,Carine,1969-09-08,F,0308,ADJOVI Bernice
AN-000087,ACTE_NAISSANCE,SOSSOU,Sènami Rachidatou,1995-03-29,F,1202,HOUESSOU Flore
AN-000088,ACTE_NAISSANCE,AGOSSOU,Ghislain,1984-06-30,M,1007,HOUESSOU Carine
AN-000089,ACTE_NAISSANCE,KPADONOU,Espérance,2017-01-19,F,0405,KIKI Fatoumata
CC-000090,CARTE_CONSULAIRE,SOSSOU,Judith,1963-02-07,F,0201,DOSSOU Salamatou
AN-000091,ACTE_NAISSANCE,QUENUM,Salamatou,1987-12-05,F,1204,ZINSOU Salamatou
AN-000092,ACTE_NAISSANCE,VODOUNON,Prudence,2012-10-28,F,0104,TOSSOU Sylvie
AN-000093,ACTE_NAISSANCE,KPADONOU,Ulrich,2011-08-06,M,1209,ZINSOU Chimène
CC-000094,CARTE_CONSULAIRE,KPADONOU,Judith Rosine,1970-12-06,F,0401,ZANNOU Nadège
AN-000095,ACTE_NAISSANCE,HOUESSOU,Brice,1999-12-16,M,0605,ALLADAYE Carine
AN-000096,ACTE_NAISSANCE,GBAGUIDI,Fatoumata,2000-06-22,F,0406,TOGBE Rosine
AN-000097,ACTE_NAISSANCE,ASSOGBA,Aïcha,2001-11-28,F,0404,GLELE Sèmèvo
AN-000098,ACTE_NAISSANCE,AMOUSSOU,Mariam,1969-11-01,F,1005,ZANNOU Sènami
AN-000099,ACTE_NAISSANCE,DOSSOU,Judith,1975-06-02,F,1101,LOKONON Bernice
CC-000100,CARTE_CONSULAIRE,KIKI,Moussa Ghislain,2016-08-21,M,1003,IDRISSOU Flore
AN-000101,ACTE_NAISSANCE,KPADONOU,Sènami,2005-05-21,F,0307,ADJOVI Ayaba
CC-000102,CARTE_CONSULAIRE,HOUNSOU,Yves,2001-01-27,M,0203,BONI Sèmèvo
CC-000103,CARTE_CONSULAIRE,HOUNSOU,Sylvie Judith,2011-04-18,F,0601,KOUKPAKI Sèmèvo
AN-000104,ACTE_NAISSANCE,SOULEY,Ghislain,2008-08-11,M,1103,IDRISSOU Flore
CC-000105,CARTE_CONSULAIRE,KPADONOU,Ayaba Judith,1980-02-19,F,0801,TOSSOU Mariam
AN-000106,ACTE_NAISSANCE,CODJIA,Aïcha,1987-02-26,F,0207,DANSOU Fatoumata
AN-000107,ACTE_NAISSANCE,CHABI,Estelle Salamatou,1966-05-01,F,0704,VODOUNON Gisèle
AN-000108,ACTE_NAISSANCE,CHABI,Romaric,2014-02-26,M,0106,FASSINOU Sènami
AN-000109,ACTE_NAISSANCE,ALLADAYE,Codjo,1984-11-17,M,0503,KOUKPAKI Fatoumata
AN-000110,ACTE_NAISSANCE,AKPOVI,Flore,1964-04-18,F,0203,LOKONON Bernice
AN-000111,ACTE_NAISSANCE,MENSAH,Rosine Nadège,1981-06-25,F,0604,AHOUANSOU Salamatou
AN-000112,ACTE_NAISSANCE,BIO,Bernice Espérance,1996-05-08,F,1002,KPADONOU Aïcha
AN-000113,ACTE_NAISSANCE,AGBODJAN,Nadège,1990-07-24,F,0905,NOUATIN Estelle
AN-000114,ACTE_NAISSANCE,OSSENI,Gildas,1989-06-17,M,1003,TCHIBOZO Nadège
AN-000115,ACTE_NAISSANCE,TOGBE,Fidèle,1945-08-02,M,0604,CHABI Rosine
PP-000116,PASSEPORT,TOSSOU,Sèmèvo,2010-10-23,F,0505,TCHIBOZO Fatoumata
CC-000117,CARTE_CONSULAIRE,AHOYO,Rachid,1987-08-08,M,1203,AGBODJAN Sylvie
AN-000118,ACTE_NAISSANCE,DANSOU,Flore Mariam,1972-12-31,F,1209,BONI Gisèle
AN-000119,ACTE_NAISSANCE,HOUNGBO,Espérance,1990-02-23,F,0903,ZANNOU Chimène
AN-000120,ACTE_NAISSANCE,OSSENI,Rodrigue,2012-12-04,M,0307,KPADONOU Mariam
PP-000121,PASSEPORT,AGBODJAN,Aïcha Estelle,1991-11-23,F,0209,TCHIBOZO Flore
CC-000122,CARTE_CONSULAIRE,SOSSOU,Prudence,2004-08-14,F,0605,MENSAH Nadège
AN-000123,ACTE_NAISSANCE,YAROU,Carine,2011-04-06,F,0303,LOKONON Ayaba
AN-000124,ACTE_NAISSANCE,MENSAH,Chimène,2000-01-01,F,0906,ADANDE Sylvie
CC-000125,CARTE_CONSULAIRE,ALLADAYE,Fabrice Brice,1970-07-31,M,0204,SAGBO Gisèle
AN-000126,ACTE_NAISSANCE,AHOYO,Yves,1994-08-27,M,1202,AMOUSSOU Rachidatou
AN-000127,ACTE_NAISSANCE,GLELE,Sènami,1997-01-17,F,0406,DOSSOU Sènami
AN-000128,ACTE_NAISSANCE,TOSSOU,Gisèle Bernice,2015-06-02,F,0904,AHOYO Chimène
AN-000129,ACTE_NAISSANCE,TOSSOU,Sènami Salamatou,1958-03-11,F,1003,YAROU Aïcha
AN-000130,ACTE_NAISSANCE,QUENUM,Serge Arnaud,1983-10-11,M,0307,QUENUM Gisèle
AN-000131,ACTE_NAISSANCE,DANSOU,Carine,1989-09-29,F,1104,IDRISSOU Espérance
AN-000132,ACTE_NAISSANCE,HOUNKPATIN,Comlan,1978-04-24,M,1007,AGOSSOU Sènami
AN-000133,ACTE_NAISSANCE,ADANDE,Sèmèvo,2003-09-27,F,0505,SAGBO Sylvie
AN-000134,ACTE_NAISSANCE,KPADONOU,Ghislain,2011-03-10,M,0307,AHOYO Prudence
CC-000135,CARTE_CONSULAIRE,BIO,Bienvenu,1987-07-24,M,1202,MENSAH Nadège
AN-000136,ACTE_NAISSANCE,DOSSOU,Arnaud,2017-11-10,M,0301,SOULEY Mariam
AN-000137,ACTE_NAISSANCE,ALLADAYE,Ibrahim,1977-12-25,M,0302,AGOSSOU Fatoumata
CC-000138,CARTE_CONSULAIRE,DANSOU,Sèmèvo,2010-05-25,F,1007,AGOSSOU Nadège
AN-000139,ACTE_NAISSANCE,KIKI,Rachid,2004-01-04,M,0401,DOSSOU Aïcha
PP-000140,PASSEPORT,GLELE,Prudence Rachidatou,2005-01-16,F,1008,AGBODJAN Sèmèvo
AN-000141,ACTE_NAISSANCE,CHABI,Ghislain,1997-08-13,M,0605,SOSSOU Sèmèvo
AN-000142,ACTE_NAISSANCE,CHABI,Justin,2004-09-08,M,0903,CHABI Mariam
AN-000143,ACTE_NAISSANCE,AHOUANSOU,Judith,2001-06-05,F,1205,GLELE Chimène
CC-000144,CARTE_CONSULAIRE,SOSSOU,Ulrich,2014-05-31,M,1203,KOUKPAKI Gisèle
AN-000145,ACTE_NAISSANCE,AKPOVI,Estelle,1950-08-08,F,0207,MENSAH Salamatou
CC-000146,CARTE_CONSULAIRE,IDRISSOU,Espérance,1970-11-21,F,0206,AMOUSSOU Ayaba
CC-000147,CARTE_CONSULAIRE,KPADONOU,Flore Prudence,2006-03-15,F,0902,ZANNOU Estelle
PP-000148,PASSEPORT,AHOYO,Fidèle Arnaud,2007-06-20,M,0104,VODOUNON Chimène
AN-000149,ACTE_NAISSANCE,AGOSSOU,Rodrigue,1993-06-30,M,1209,TOGBE Aïcha
AN-000150,ACTE_NAISSANCE,AGOSSOU,Estelle,1989-11-08,F,0105,HOUNKPATIN Rachidatou
AN-000151,ACTE_NAISSANCE,KPADONOU,Mahougnon,1989-01-01,M,0403,KPADONOU Espérance
AN-000152,ACTE_NAISSANCE,DANSOU,Moussa,1961-09-29,M,0308,HOUNKPATIN Chimène
AN-000153,ACTE_NAISSANCE,HOUNKPATIN,Nadège,1996-03-30,F,0206,AKPOVI Judith
CC-000154,CARTE_CONSULAIRE,DANSOU,Rodrigue Bienvenu,1998-05-12,M,0201,GBAGUIDI Chimène
AN-000155,ACTE_NAISSANCE,HOUNKPATIN,Fidèle,1980-11-12,M,0404,AKPOVI Aïcha
AN-000156,ACTE_NAISSANCE,TOGBE,Espérance,2005-09-26,F,0401,ALLADAYE Estelle
AN-000157,ACTE_NAISSANCE,SAGBO,Arnaud Ibrahim,2009-04-09,M,0402,DOSSOU Mariam
AN-000158,ACTE_NAISSANCE,BONI,Espérance,1976-10-05,F,0401,AHOUANSOU Salamatou
AN-000159,ACTE_NAISSANCE,LOKONON,Fabrice Yves,2000-04-10,M,0502,VODOUNON Judith
PP-000160,PASSEPORT,VODOUNON,Flore,1955-10-29,F,0208,NOUATIN Sènami
PP-000161,PASSEPORT,AGBODJAN,Chimène Flore,2016-12-15,F,0506,NOUATIN Judith
AN-000162,ACTE_NAISSANCE,TCHIBOZO,Codjo,1985-05-23,M,0604,TOSSOU Espérance
AN-000163,ACTE_NAISSANCE,NOUATIN,Estelle,1996-11-17,F,1007,BONI Sènami
AN-000164,ACTE_NAISSANCE,ADJOVI,Rosine,1990-02-17,F,0209,BIO Nadège
AN-000165,ACTE_NAISSANCE,ADANDE,Aïcha Flore,1986-09-30,F,0801,TOSSOU Flore
AN-000166,ACTE_NAISSANCE,AHOYO,Gisèle,1987-07-05,F,0404,SOULEY Espérance
AN-000167,ACTE_NAISSANCE,CHABI,Flore Rachidatou,1991-12-02,F,0601,AMOUSSOU Carine
AN-000168,ACTE_NAISSANCE,MENSAH,Gildas Codjo,2000-03-28,M,0406,AHOYO Carine
AN-000169,ACTE_NAISSANCE,AHOUANSOU,Fabrice,1975-02-25,M,0701,MENSAH Fatoumata
AN-000170,ACTE_NAISSANCE,AMOUSSOU,Arnaud Moussa,2001-08-29,M,0506,YAROU Estelle
AN-000171,ACTE_NAISSANCE,ADJOVI,Prudence Salamatou,1996-11-02,F,0701,TOSSOU Salamatou
AN-000172,ACTE_NAISSANCE,HOUESSOU,Gisèle,2004-10-19,F,0606,KIKI Nadège
AN-000173,ACTE_NAISSANCE,QUENUM,Romaric,1962-06-11,M,0902,HOUNGBO Rosine
AN-000174,ACTE_NAISSANCE,KPADONOU,Bernice,1998-10-28,F,1105,AHOYO Nadège
AN-000175,ACTE_NAISSANCE,KPADONOU,Judith,1986-04-05,F,1005,DANSOU Rachidatou
AN-000176,ACTE_NAISSANCE,ASSOGBA,Fidèle,1976-08-19,M,0505,HOUNSOU Mariam
CC-000177,CARTE_CONSULAIRE,GLELE,Arnaud,1987-05-13,M,0906,ADANDE Carine
AN-000178,ACTE_NAISSANCE,HOUNGBO,Flore,1972-04-13,F,0404,YAROU Rosine
CC-000179,CARTE_CONSULAIRE,BIO,Brice,1990-06-15,M,1205,CHABI Estelle
CC-000180,CARTE_CONSULAIRE,AGBODJAN,Mariam,2013-03-16,F,0102,SAGBO Carine
AN-000181,ACTE_NAISSANCE,DOSSOU,Mahougnon,1985-08-17,M,0605,DANSOU Estelle
AN-000182,ACTE_NAISSANCE,AHOUANSOU,Rachid,1996-10-29,M,0504,SAGBO Rosine
AN-000183,ACTE_NAISSANCE,ALLADAYE,Aïcha,1986-07-05,F,0307,HOUNKPATIN Chimène
AN-000184,ACTE_NAISSANCE,DOSSOU,Flore Chimène,1997-01-25,F,0308,SOULEY Ayaba
AN-000185,ACTE_NAISSANCE,TOGBE,Codjo,2000-06-14,M,0205,QUENUM Ayaba
PP-000186,PASSEPORT,AGOSSOU,Estelle Fatoumata,1985-07-24,F,0502,HOUESSOU Prudence
CC-000187,CARTE_CONSULAIRE,ZINSOU,Fatoumata,2020-01-02,F,0209,FASSINOU Bernice
CC-000188,CARTE_CONSULAIRE,GLELE,Ghislain,2014-07-13,M,0407,ADANDE Prudence
PP-000189,PASSEPORT,ASSOGBA,Mahougnon,1991-01-26,M,0307,TOGBE Bernice
PP-000190,PASSEPORT,KIKI,Comlan,1998-11-16,M,0206,TOGBE Aïcha
AN-000191,ACTE_NAISSANCE,DANSOU,Codjo,1964-09-05,M,0503,ZINSOU Ayaba
AN-000192,ACTE_NAISSANCE,SAGBO,Ghislain,2018-08-02,M,0602,HOUNGBO Bernice
AN-000193,ACTE_NAISSANCE,ZANNOU,Ibrahim,1985-10-14,M,1008,DOSSOU Judith
AN-000194,ACTE_NAISSANCE,ZANNOU,Espérance Bernice,1991-09-21,F,0206,GLELE Chimène
AN-000195,ACTE_NAISSANCE,ADANDE,Ghislain Justin,2004-08-06,M,0604,IDRISSOU Aïcha
AN-000196,ACTE_NAISSANCE,GBAGUIDI,Prudence Carine,2003-10-26,F,0601,ADANDE Aïcha
AN-000197,ACTE_NAISSANCE,KPADONOU,Judith,2005-04-20,F,0307,GLELE Estelle
AN-000198,ACTE_NAISSANCE,SAGBO,Serge,1972-08-05,M,0504,OSSENI Flore
AN-000199,ACTE_NAISSANCE,HOUNGBO,Brice Fabrice,1999-10-21,M,0405,ZANNOU Sènami
AN-000200,ACTE_NAISSANCE,GBAGUIDI,Ayaba,2016-05-17,F,0506,TCHIBOZO Espérance
AN-000201,ACTE_NAISSANCE,AHOYO,Sèmèvo,1985-10-08,F,0201,ZINSOU Salamatou
AN-000202,ACTE_NAISSANCE,CHABI,Flore,2012-04-10,F,0601,OSSENI Nadège
AN-000203,ACTE_NAISSANCE,TCHIBOZO,Sylvie,2001-02-04,F,0606,VODOUNON Rosine
AN-000204,ACTE_NAISSANCE,KOUKPAKI,Sènami,2004-02-17,F,0207,KPADONOU Rosine
CC-000205,CARTE_CONSULAIRE,CODJIA,Sèmèvo Fatoumata,1966-11-01,F,0904,HOUNGBO Rosine
AN-000206,ACTE_NAISSANCE,ZINSOU,Ayaba,1961-07-15,F,1101,OSSENI Fatoumata
PP-000207,PASSEPORT,KOUKPAKI,Judith Gisèle,2003-09-04,F,0506,CHABI Chimène
AN-000208,ACTE_NAISSANCE,DANSOU,Ayaba,1942-03-30,F,0306,ADJOVI Ayaba
AN-000209,ACTE_NAISSANCE,HOUNKPATIN,Ghislain,2024-02-04,M,0603,TCHIBOZO Judith
AN-000210,ACTE_NAISSANCE,AKPOVI,Brice,1987-07-24,M,0208,SAGBO Estelle
AN-000211,ACTE_NAISSANCE,GBAGUIDI,Rachid Arnaud,1986-01-06,M,0104,HOUESSOU Gisèle
AN-000212,ACTE_NAISSANCE,AGOSSOU,Moussa,2007-05-10,M,0308,FASSINOU Rosine
AN-000213,ACTE_NAISSANCE,SOULEY,Bernice Judith,1951-03-25,F,0406,DANSOU Ayaba
AN-000214,ACTE_NAISSANCE,ASSOGBA,Rachidatou,1968-04-17,F,0402,YAROU Chimène
AN-000215,ACTE_NAISSANCE,AKPOVI,Codjo,1983-02-06,M,0701,LOKONON Nadège
AN-000216,ACTE_NAISSANCE,CODJIA,Sylvie,2005-02-18,F,0407,AMOUSSOU Gisèle
AN-000217,ACTE_NAISSANCE,DOSSOU,Judith Aïcha,1991-05-06,F,0601,AKPOVI Judith
AN-000218,ACTE_NAISSANCE,SOSSOU,Ibrahim Mahougnon,1971-01-18,M,1004,SOSSOU Aïcha
AN-000219,ACTE_NAISSANCE,KIKI,Rachidatou,2000-10-17,F,0906,AMOUSSOU Sènami
AN-000220,ACTE_NAISSANCE,HOUNGBO,Brice,1989-11-24,M,0405,IDRISSOU Carine
AN-000221,ACTE_NAISSANCE,YAROU,Fatoumata,2004-12-24,F,0704,DANSOU Gisèle
PP-000222,PASSEPORT,AGOSSOU,Nadège Estelle,1981-06-13,F,0601,KPADONOU Estelle
AN-000223,ACTE_NAISSANCE,AGBODJAN,Gildas,2004-11-21,M,0101,KPADONOU Estelle
AN-000224,ACTE_NAISSANCE,ADJOVI,Aïcha,1948-09-05,F,0301,DANSOU Judith
AN-000225,ACTE_NAISSANCE,KOUKPAKI,Flore Espérance,2000-06-24,F,0307,AHOYO Rachidatou
AN-000226,ACTE_NAISSANCE,VODOUNON,Moussa Brice,1986-06-12,M,1003,ZANNOU Mariam
AN-000227,ACTE_NAISSANCE,TCHIBOZO,Arnaud,1995-08-14,M,0202,ADANDE Mariam
AN-000228,ACTE_NAISSANCE,BIO,Chimène Ayaba,1990-10-14,F,1205,ASSOGBA Carine
AN-000229,ACTE_NAISSANCE,AGOSSOU,Rosine,1992-07-04,F,0801,BIO Rosine
AN-000230,ACTE_NAISSANCE,YAROU,Sèmèvo,1996-09-18,F,0801,ALLADAYE Sèmèvo
AN-000231,ACTE_NAISSANCE,TOSSOU,Judith,1966-04-28,F,1207,NOUATIN Nadège
AN-000232,ACTE_NAISSANCE,AGOSSOU,Sènami,2011-08-31,F,1207,CODJIA Fatoumata
AN-000233,ACTE_NAISSANCE,HOUNSOU,Arnaud,2011-07-02,M,0106,YAROU Sèmèvo
AN-000234,ACTE_NAISSANCE,OSSENI,Brice,1998-08-22,M,0306,HOUNKPATIN Nadège
AN-000235,ACTE_NAISSANCE,LOKONON,Sèmèvo,2006-03-04,F,0604,OSSENI Carine
AN-000236,ACTE_NAISSANCE,CHABI,Estelle,1990-07-06,F,1104,GLELE Rachidatou
AN-000237,ACTE_NAISSANCE,KOUKPAKI,Gisèle,1938-11-29,F,1209,MENSAH Sèmèvo
CC-000238,CARTE_CONSULAIRE,TOSSOU,Ibrahim Arnaud,2006-09-17,M,0601,AGOSSOU Salamatou
AN-000239,ACTE_NAISSANCE,DANSOU,Comlan,1988-11-20,M,0905,ADJOVI Nadège
CC-000240,CARTE_CONSULAIRE,AKPOVI,Rachid,2003-07-14,M,1008,CODJIA Carine
AN-000241,ACTE_NAISSANCE,AMOUSSOU,Romaric,1997-04-22,M,1103,KPADONOU Sènami
AN-000242,ACTE_NAISSANCE,BIO,Rodrigue Ulrich,1963-07-20,M,0501,AGBODJAN Gisèle
AN-000243,ACTE_NAISSANCE,AHOUANSOU,Aïcha,1975-03-06,F,1203,DOSSOU Fatoumata
AN-000244,ACTE_NAISSANCE,YAROU,Salamatou,1980-02-01,F,1205,HOUNKPATIN Salamatou
CC-000245,CARTE_CONSULAIRE,TCHIBOZO,Ulrich,1980-10-24,M,0305,QUENUM Chimène
AN-000246,ACTE_NAISSANCE,LOKONON,Ibrahim,1976-03-19,M,1103,FASSINOU Carine
AN-000247,ACTE_NAISSANCE,TCHIBOZO,Mahougnon Ghislain,1975-09-10,M,0101,OSSENI Nadège
AN-000248,ACTE_NAISSANCE,CODJIA,Gildas,1981-09-05,M,0105,CODJIA Chimène
CC-000249,CARTE_CONSULAIRE,ZANNOU,Sènami,1955-01-13,F,0407,LOKONON Mariam
AN-000250,ACTE_NAISSANCE,KPADONOU,Fidèle,1980-05-12,M,1104,CODJIA Mariam
