id_enrolement,id_piece,type_anomalie,regles_attendues,champ,valeur_saisie,valeur_attendue
ENR-000497,PP-001992,TELEPHONE_INVALIDE,R10,telephone,289264104,(numéro valide attendu : 01 + 8 chiffres)
ENR-000504,AN-002443,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1001,0402
ENR-000506,AN-003261,TELEPHONE_INVALIDE,R10,telephone,0286976490,(numéro valide attendu : 01 + 8 chiffres)
ENR-000520,AN-001527,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,TCHIBOZO Rosine
ENR-000568,AN-002734,ECART_SEXE,R04,sexe,M,F
ENR-000575,AN-000481,ECART_PRENOMS,R02,prenoms,SSerge,Serge
ENR-000579,AN-002800,TELEPHONE_INVALIDE,R10,telephone,48834084,(numéro valide attendu : 01 + 8 chiffres)
ENR-000584,AN-000248,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1894-07-16,1981-09-05
ENR-000587,AN-001139,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2025-08-18,1995-12-06
ENR-000626,CC-002421,ECART_NOM,R01,nom,OUSENI,OSSENI
ENR-000632,CC-000943,ECART_PRENOMS,R02,prenoms,Fidèe,Fidèle
ENR-000646,CC-000521,ECART_NOM,R01,nom,DANSZU,DANSOU
ENR-000666,AN-002295,TELEPHONE_INVALIDE,R10,telephone,89659378,(numéro valide attendu : 01 + 8 chiffres)
ENR-000678,AN-004606,TELEPHONE_INVALIDE,R10,telephone,013085915671,(numéro valide attendu : 01 + 8 chiffres)
ENR-000684,AN-001708,ECART_PRENOMS,R02,prenoms,Serg,Serge
ENR-000694,AN-000816,DOUBLON,R11,id_piece,AN-000816,déjà enrôlé sous ENR-000115
ENR-000698,CC-002811,ECART_DATE_NAISSANCE,R03,date_naissance,2005-07-04,2005-06-24
ENR-000727,AN-004301,ECART_DATE_NAISSANCE,R03,date_naissance,1993-05-25,1993-05-15
ENR-000728,AN-004600,ECART_NOM,R01,nom,SOSSOUU,SOSSOU
ENR-000731,PP-002182,DOUBLON,R11,id_piece,PP-002182,déjà enrôlé sous ENR-000272
ENR-000748,AN-001488,ECART_SEXE,R04,sexe,M,F
ENR-000762,AN-003684,ECART_NOM,R01,nom,GBAGUIDII,GBAGUIDI
ENR-000772,CC-003918,ECART_NOM,R01,nom,TSHIBOZO,TCHIBOZO
ENR-000776,AN-000649,ECART_SEXE,R04,sexe,M,F
ENR-000793,CC-004684,ECART_PRENOMS,R02,prenoms,Gildas Brice,Brice Gildas
ENR-000795,CC-004804,ECART_PRENOMS,R02,prenoms,Carine Flore,Flore Carine
ENR-000796,CC-001198,DOUBLON,R11,id_piece,CC-001198,déjà enrôlé sous ENR-000368
ENR-000803,AN-002893,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2025-07-13,1995-11-19
ENR-000830,AN-000820,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0209,1203
ENR-000847,AN-001398,DOUBLON,R11,id_piece,AN-001398,déjà enrôlé sous ENR-000003
ENR-000849,AN-000575,TELEPHONE_INVALIDE,R10,telephone,019000763723,(numéro valide attendu : 01 + 8 chiffres)
ENR-000852,PP-002326,ECART_NOM,R01,nom,CHABBI,CHABI
ENR-000860,AN-001577,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,KIKI Judith
ENR-000868,AN-001034,ECART_NOM,R01,nom,ALLADAYEE,ALLADAYE
ENR-000880,AN-002837,ECART_PRENOMS,R02,prenoms,Flore Chimène,Chimène Flore
ENR-000909,AN-004044,ECART_NOM,R01,nom,SOULIY,SOULEY
ENR-000917,AN-002784,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,CHABI Nadège
ENR-000937,PP-003080,ECART_PRENOMS,R02,prenoms,Urich,Ulrich
ENR-000940,AN-000886,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1006,0605
ENR-000950,AN-000167,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AMOUSSOU Carine
ENR-000960,AN-003944,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0201,0405
ENR-000975,AN-004881,TELEPHONE_INVALIDE,R10,telephone,019466186234,(numéro valide attendu : 01 + 8 chiffres)
ENR-000986,AN-001302,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,TOSSOU Sylvie
ENR-001006,AN-004956,ECART_NOM,R01,nom,ADJOVQ,ADJOVI
ENR-001018,AN-001430,ECART_PRENOMS,R02,prenoms,Rachd,Rachid
ENR-001024,AN-001428,ECART_PRENOMS,R02,prenoms,Gildas Arnaud,Arnaud Gildas
ENR-001031,AN-000621,ECART_NOM,R01,nom,HOLNGBO,HOUNGBO
ENR-001055,AN-004939,DOUBLON,R11,id_piece,AN-004939,déjà enrôlé sous ENR-000403
ENR-001059,AN-000916,ECART_DATE_NAISSANCE,R03,date_naissance,1979-05-08,1979-08-05
ENR-001072,AN-001829,DOUBLON,R11,id_piece,AN-001829,déjà enrôlé sous ENR-000988
ENR-001082,AN-003149,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1900-08-05,1992-11-30
ENR-001084,AN-004540,TELEPHONE_INVALIDE,R10,telephone,582191872,(numéro valide attendu : 01 + 8 chiffres)
ENR-001086,AN-000624,TELEPHONE_INVALIDE,R10,telephone,013745997160,(numéro valide attendu : 01 + 8 chiffres)
ENR-001113,AN-000883,ECART_DATE_NAISSANCE,R03,date_naissance,2014-05-24,2013-05-24
ENR-001119,AN-001106,DOUBLON,R11,id_piece,AN-001106,déjà enrôlé sous ENR-000786
ENR-001137,AN-002977,ECART_DATE_NAISSANCE,R03,date_naissance,2010-01-15,2010-01-12
ENR-001143,AN-002093,DOUBLON,R11,id_piece,AN-002093,déjà enrôlé sous ENR-000479
ENR-001150,AN-001753,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0202,0205
ENR-001153,AN-004289,ECART_DATE_NAISSANCE,R03,date_naissance,1991-04-25,1991-03-26
ENR-001160,AN-000766,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,1209
ENR-001169,AN-002123,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,FASSINOU Carine
ENR-001194,AN-001771,ECART_DATE_NAISSANCE,R03,date_naissance,2003-05-06,2003-06-05
ENR-001206,AN-004503,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,0102
ENR-001219,AN-001118,ECART_DATE_NAISSANCE,R03,date_naissance,1998-09-16,1998-09-15
ENR-001227,AN-003666,DOUBLON,R11,id_piece,AN-003666,déjà enrôlé sous ENR-001083
ENR-001232,AN-002712,ECART_DATE_NAISSANCE,R03,date_naissance,1971-10-17,1971-10-14
ENR-001233,CC-003037,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-04-22,1981-02-26
ENR-001247,AN-004328,DOUBLON,R11,id_piece,AN-004328,déjà enrôlé sous ENR-000713
ENR-001248,CC-003165,DOUBLON,R11,id_piece,CC-003165,déjà enrôlé sous ENR-000769
ENR-001254,PP-001593,ECART_DATE_NAISSANCE,R03,date_naissance,2008-08-07,2008-07-08
ENR-001258,AN-003196,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0801,0406
ENR-001259,AN-003711,DOUBLON,R11,id_piece,AN-003711,déjà enrôlé sous ENR-000412
ENR-001271,CC-001454,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1203,1004
ENR-001276,CC-002946,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,1299,0502
ENR-001294,CC-002241,ECART_NOM,R01,nom,HOUESOU,HOUESSOU
ENR-001295,AN-003445,ECART_DATE_NAISSANCE,R03,date_naissance,1994-11-06,1994-11-03
ENR-001357,AN-002728,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1891-09-20,2018-08-09
ENR-001360,CC-003703,ECART_DATE_NAISSANCE,R03,date_naissance,2008-03-21,2008-03-18
ENR-001375,AN-002161,ECART_DATE_NAISSANCE,R03,date_naissance,2002-09-28,2002-09-27
ENR-001384,AN-003253,TELEPHONE_INVALIDE,R10,telephone,07328315,(numéro valide attendu : 01 + 8 chiffres)
ENR-001389,AN-000525,ECART_NOM,R01,nom,OHUNSOU,HOUNSOU
ENR-001398,AN-002697,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,1009
ENR-001416,CC-001801,ECART_PRENOMS,R02,prenoms,hGislain,Ghislain
ENR-001424,AN-000959,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0000,0304
ENR-001451,AN-000603,DOUBLON,R11,id_piece,AN-000603,déjà enrôlé sous ENR-001354
ENR-001455,PP-001757,ECART_PRENOMS,R02,prenoms,Salamtaou,Salamatou
ENR-001468,AN-002701,ECART_DATE_NAISSANCE,R03,date_naissance,1961-05-22,1960-05-22
ENR-001489,AN-001257,ECART_NOM,R01,nom,DDOSSOU,DOSSOU
ENR-001492,AN-002423,TELEPHONE_INVALIDE,R10,telephone,014197022845,(numéro valide attendu : 01 + 8 chiffres)
ENR-001494,AN-003779,ECART_NOM,R01,nom,GLEELE,GLELE
ENR-001497,CC-002193,DOUBLON,R11,id_piece,CC-002193,déjà enrôlé sous ENR-000664
ENR-001507,AN-002278,ECART_DATE_NAISSANCE,R03,date_naissance,1997-11-16,1997-11-14
ENR-001511,AN-004983,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0606,0104
ENR-001515,CC-001478,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0501,0605
ENR-001566,AN-002109,ECART_SEXE,R04,sexe,M,F
ENR-001592,AN-003861,ECART_NOM,R01,nom,IDSISSOU,IDRISSOU
ENR-001601,AN-002797,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1903-07-16,2001-06-21
ENR-001615,AN-002226,TELEPHONE_INVALIDE,R10,telephone,130655229,(numéro valide attendu : 01 + 8 chiffres)
ENR-001651,PP-000259,ECART_SEXE,R04,sexe,M,F
ENR-001659,AN-004868,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AHOUANSOU Nadège
ENR-001667,PP-003027,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1102,1006
ENR-001679,PP-000403,ECART_DATE_NAISSANCE,R03,date_naissance,1987-12-02,1987-02-12
ENR-001681,AN-002327,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-01-25,1990-08-08
ENR-001695,AN-003856,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1104,0904
ENR-001700,AN-001490,ECART_DATE_NAISSANCE,R03,date_naissance,1962-04-03,1962-03-31
ENR-001712,PP-000996,ECART_NOM,R01,nom,SOELEY,SOULEY
ENR-001717,PP-002930,ECART_PRENOMS,R02,prenoms,Roussa,Moussa
ENR-001726,AN-001840,TELEPHONE_INVALIDE,R10,telephone,66200543,(numéro valide attendu : 01 + 8 chiffres)
ENR-001750,PP-004808,ECART_PRENOMS,R02,prenoms,Codjjo,Codjo
ENR-001757,AN-000030,TELEPHONE_INVALIDE,R10,telephone,014478378305,(numéro valide attendu : 01 + 8 chiffres)
ENR-001766,AN-004614,ECART_PRENOMS,R02,prenoms,Sergge,Serge
ENR-001802,CC-002771,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-07-10,1996-02-28
ENR-001805,AN-000518,ECART_PRENOMS,R02,prenoms,Salaiatou,Salamatou
ENR-001826,AN-001738,ECART_DATE_NAISSANCE,R03,date_naissance,1998-10-05,1998-05-10
ENR-001827,PP-001833,ECART_DATE_NAISSANCE,R03,date_naissance,2021-06-10,2021-10-06
ENR-001894,AN-003481,ECART_NOM,R01,nom,ODJIA,CODJIA
ENR-001901,AN-004782,ECART_SEXE,R04,sexe,F,M
ENR-001914,AN-001359,ECART_NOM,R01,nom,APOVI,AKPOVI
ENR-001926,AN-003787,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1007,0204
ENR-001932,AN-002976,DOUBLON,R11,id_piece,AN-002976,déjà enrôlé sous ENR-001677
ENR-001998,AN-000421,ECART_DATE_NAISSANCE,R03,date_naissance,1955-08-08,1955-07-29
ENR-002016,AN-001665,ECART_SEXE,R04,sexe,F,M
ENR-002036,CC-004331,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0905,0306
ENR-002037,AN-003313,DOUBLON,R11,id_piece,AN-003313,déjà enrôlé sous ENR-001972
ENR-002043,AN-002872,ECART_NOM,R01,nom,OSSOU,SOSSOU
ENR-002044,CC-003427,ECART_DATE_NAISSANCE,R03,date_naissance,1979-05-30,1979-05-27
ENR-002048,PP-001449,ECART_DATE_NAISSANCE,R03,date_naissance,1999-12-29,1999-12-28
ENR-002058,AN-000663,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-03-24,2015-04-29
ENR-002064,AN-004219,TELEPHONE_INVALIDE,R10,telephone,018048790501,(numéro valide attendu : 01 + 8 chiffres)
ENR-002073,AN-001673,TELEPHONE_INVALIDE,R10,telephone,077089061,(numéro valide attendu : 01 + 8 chiffres)
ENR-002079,AN-002554,ECART_SEXE,R04,sexe,M,F
ENR-002082,PP-003658,ECART_PRENOMS,R02,prenoms,Carnie,Carine
ENR-002102,PP-003528,TELEPHONE_INVALIDE,R10,telephone,909600262,(numéro valide attendu : 01 + 8 chiffres)
ENR-002112,AN-001642,ECART_PRENOMS,R02,prenoms,Gisèle Bernice,Bernice Gisèle
ENR-002117,PP-000054,TELEPHONE_INVALIDE,R10,telephone,251525991,(numéro valide attendu : 01 + 8 chiffres)
ENR-002124,AN-001254,DOUBLON,R11,id_piece,AN-001254,déjà enrôlé sous ENR-001763
ENR-002127,AN-001309,ECART_NOM,R01,nom,NGUATIN,NOUATIN
ENR-002137,CC-004688,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,DOSSOU Gisèle
ENR-002139,AN-004987,ECART_SEXE,R04,sexe,F,M
ENR-002140,AN-001485,DOUBLON,R11,id_piece,AN-001485,déjà enrôlé sous ENR-001552
ENR-002204,AN-004217,ECART_NOM,R01,nom,TCHIOZO,TCHIBOZO
ENR-002223,AN-002400,ECART_DATE_NAISSANCE,R03,date_naissance,1998-04-01,1998-03-02
ENR-002241,AN-004125,DOUBLON,R11,id_piece,AN-004125,déjà enrôlé sous ENR-001450
ENR-002242,AN-002250,DOUBLON,R11,id_piece,AN-002250,déjà enrôlé sous ENR-001907
ENR-002289,AN-003894,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0606,0203
ENR-002297,PP-002238,ECART_DATE_NAISSANCE,R03,date_naissance,1968-06-03,1967-06-04
ENR-002301,AN-004390,ECART_NOM,R01,nom,ZANNEU,ZANNOU
ENR-002310,AN-004086,TELEPHONE_INVALIDE,R10,telephone,077299757,(numéro valide attendu : 01 + 8 chiffres)
ENR-002318,AN-004512,ECART_NOM,R01,nom,ADDANDE,ADANDE
ENR-002321,AN-002537,DOUBLON,R11,id_piece,AN-002537,déjà enrôlé sous ENR-002147
ENR-002336,AN-003913,ECART_DATE_NAISSANCE,R03,date_naissance,1968-04-11,1968-11-04
ENR-002369,CC-000968,ECART_NOM,R01,nom,AHOOUANSOU,AHOUANSOU
ENR-002394,PP-003744,DOUBLON,R11,id_piece,PP-003744,déjà enrôlé sous ENR-001721
ENR-002399,AN-002130,ECART_SEXE,R04,sexe,M,F
ENR-002405,AN-002379,DOUBLON,R11,id_piece,AN-002379,déjà enrôlé sous ENR-001616
ENR-002407,AN-000759,ECART_DATE_NAISSANCE,R03,date_naissance,2011-08-21,2011-08-20
ENR-002438,CC-001702,DOUBLON,R11,id_piece,CC-001702,déjà enrôlé sous ENR-001951
ENR-002442,AN-001297,ECART_NOM,R01,nom,AHOANSOU,AHOUANSOU
ENR-002452,AN-004783,DOUBLON,R11,id_piece,AN-004783,déjà enrôlé sous ENR-002340
ENR-002459,AN-002683,ECART_NOM,R01,nom,ADNSOU,DANSOU
ENR-002465,AN-000176,ECART_SEXE,R04,sexe,F,M
ENR-002472,AN-001730,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,DANSOU Chimène
ENR-002506,AN-001374,DOUBLON,R11,id_piece,AN-001374,déjà enrôlé sous ENR-002427
ENR-002515,CC-003972,TELEPHONE_INVALIDE,R10,telephone,01O2355998,(numéro valide attendu : 01 + 8 chiffres)
ENR-002517,AN-000762,TELEPHONE_INVALIDE,R10,telephone,01O2983773,(numéro valide attendu : 01 + 8 chiffres)
ENR-002521,AN-002287,TELEPHONE_INVALIDE,R10,telephone,86191848,(numéro valide attendu : 01 + 8 chiffres)
ENR-002523,PP-002926,ECART_PRENOMS,R02,prenoms,Codj,Codjo
ENR-002562,AN-002264,ECART_DATE_NAISSANCE,R03,date_naissance,1997-08-21,1997-08-11
ENR-002581,PP-000284,ECART_PRENOMS,R02,prenoms,Rosine Fatoumata,Fatoumata Rosine
ENR-002603,AN-003938,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0399,0604
ENR-002626,CC-003441,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0407,0403
ENR-002648,AN-000660,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0105,0408
ENR-002653,CC-000944,ECART_DATE_NAISSANCE,R03,date_naissance,2015-08-19,2014-08-19
ENR-002679,AN-003749,ECART_PRENOMS,R02,prenoms,Faabrice,Fabrice
ENR-002682,AN-000818,DOUBLON,R11,id_piece,AN-000818,déjà enrôlé sous ENR-002557
ENR-002694,AN-003482,TELEPHONE_INVALIDE,R10,telephone,0284801670,(numéro valide attendu : 01 + 8 chiffres)
ENR-002695,AN-003575,ECART_NOM,R01,nom,MEENSAH,MENSAH
ENR-002715,AN-003298,ECART_NOM,R01,nom,ZINOU,ZINSOU
ENR-002719,PP-003100,DOUBLON,R11,id_piece,PP-003100,déjà enrôlé sous ENR-002213
ENR-002724,PP-003905,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-10-25,2022-05-16
ENR-002743,AN-002785,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,YAROU Fatoumata
ENR-002746,AN-004509,ECART_PRENOMS,R02,prenoms,Comlan Rachid,Rachid Comlan
ENR-002750,CC-002210,TELEPHONE_INVALIDE,R10,telephone,01O2068226,(numéro valide attendu : 01 + 8 chiffres)
ENR-002787,PP-001070,ECART_DATE_NAISSANCE,R03,date_naissance,1993-06-07,1993-07-06
ENR-002790,AN-004261,ECART_PRENOMS,R02,prenoms,Rachiid,Rachid
ENR-002800,AN-004388,ECART_NOM,R01,nom,AGOSSUO,AGOSSOU
ENR-002808,PP-001096,DOUBLON,R11,id_piece,PP-001096,déjà enrôlé sous ENR-002014
ENR-002827,AN-003797,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,9999,0405
ENR-002837,AN-004813,ECART_PRENOMS,R02,prenoms,alamatou,Salamatou
ENR-002845,CC-002440,ECART_NOM,R01,nom,CDOJIA,CODJIA
ENR-002847,AN-003534,ECART_DATE_NAISSANCE,R03,date_naissance,1998-07-28,1998-07-18
ENR-002849,CC-000685,DOUBLON,R11,id_piece,CC-000685,déjà enrôlé sous ENR-002469
ENR-002852,AN-001977,ECART_SEXE,R04,sexe,M,F
ENR-002858,AN-004112,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,DOSSOU Sylvie
ENR-002877,AN-001028,ECART_DATE_NAISSANCE,R03,date_naissance,2014-09-23,2014-09-21
ENR-002878,CC-002691,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AGOSSOU Bernice
ENR-002888,PP-002069,TELEPHONE_INVALIDE,R10,telephone,012246501477,(numéro valide attendu : 01 + 8 chiffres)
ENR-002895,AN-003964,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AMOUSSOU Mariam
ENR-002899,AN-000098,ECART_SEXE,R04,sexe,M,F
ENR-002914,AN-001204,ECART_DATE_NAISSANCE,R03,date_naissance,1987-03-02,1987-02-03
ENR-002931,AN-001122,ECART_NOM,R01,nom,AKPOVII,AKPOVI
ENR-002944,AN-004924,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0505,0307
ENR-002968,AN-001368,ECART_DATE_NAISSANCE,R03,date_naissance,1965-05-12,1965-12-05
ENR-002982,AN-001677,ECART_NOM,R01,nom,SSAGBO,SAGBO
ENR-002998,AN-004498,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,HOUNGBO Sènami
ENR-002999,AN-000351,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,HOUNGBO Flore
ENR-003003,AN-002138,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,ZANNOU Prudence
ENR-003011,AN-000291,ECART_NOM,R01,nom,IDJOVI,ADJOVI
ENR-003013,AN-000911,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-10-09,2018-11-16
ENR-003023,AN-003863,DOUBLON,R11,id_piece,AN-003863,déjà enrôlé sous ENR-002203
ENR-003029,AN-000268,DOUBLON,R11,id_piece,AN-000268,déjà enrôlé sous ENR-002736
ENR-003066,CC-001980,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,DANSOU Flore
ENR-003083,AN-001094,ECART_NOM,R01,nom,DOSOU,DOSSOU
ENR-003088,AN-000524,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,HOUESSOU Nadège
ENR-003092,AN-001276,TELEPHONE_INVALIDE,R10,telephone,01O2144754,(numéro valide attendu : 01 + 8 chiffres)
ENR-003117,AN-003570,DOUBLON,R11,id_piece,AN-003570,déjà enrôlé sous ENR-002546
ENR-003123,AN-003245,ECART_PRENOMS,R02,prenoms,Fatoumat,Fatoumata
ENR-003140,PP-002135,ECART_DATE_NAISSANCE,R03,date_naissance,2005-12-16,2005-12-15
ENR-003153,AN-003561,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0105,0405
ENR-003155,AN-000676,TELEPHONE_INVALIDE,R10,telephone,01O2302332,(numéro valide attendu : 01 + 8 chiffres)
ENR-003170,AN-004931,ECART_SEXE,R04,sexe,F,M
ENR-003179,AN-004507,TELEPHONE_INVALIDE,R10,telephone,012885889360,(numéro valide attendu : 01 + 8 chiffres)
ENR-003201,AN-003236,ECART_PRENOMS,R02,prenoms,Sèèvo,Sèmèvo
ENR-003206,AN-003219,DOUBLON,R11,id_piece,AN-003219,déjà enrôlé sous ENR-002643
ENR-003233,AN-002818,ECART_PRENOMS,R02,prenoms,Brice Ibrahim,Ibrahim Brice
ENR-003262,AN-002194,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-10-27,1963-07-03
ENR-003281,PP-000927,ECART_NOM,R01,nom,CODJIAA,CODJIA
ENR-003285,AN-001436,ECART_DATE_NAISSANCE,R03,date_naissance,1993-01-06,1993-01-05
ENR-003294,AN-000069,DOUBLON,R11,id_piece,AN-000069,déjà enrôlé sous ENR-002539
ENR-003346,AN-003272,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0406,0204
ENR-003361,AN-002584,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AHOUANSOU Bernice
ENR-003373,PP-001182,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1900-08-25,1988-01-01
ENR-003387,AN-003319,ECART_DATE_NAISSANCE,R03,date_naissance,1988-07-10,1987-07-11
ENR-003409,AN-003205,DOUBLON,R11,id_piece,AN-003205,déjà enrôlé sous ENR-002825
ENR-003420,CC-000739,DOUBLON,R11,id_piece,CC-000739,déjà enrôlé sous ENR-002637
ENR-003422,AN-001768,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0407,1002
ENR-003431,AN-001327,ECART_SEXE,R04,sexe,M,F
ENR-003434,PP-000866,DOUBLON,R11,id_piece,PP-000866,déjà enrôlé sous ENR-002699
ENR-003458,AN-002944,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AHOUANSOU Espérance
ENR-003466,AN-002272,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,KPADONOU Mariam
ENR-003473,AN-003848,DOUBLON,R11,id_piece,AN-003848,déjà enrôlé sous ENR-002703
ENR-003483,AN-001930,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AGBODJAN Rachidatou
ENR-003510,AN-000967,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1201,0106
ENR-003533,AN-001053,ECART_DATE_NAISSANCE,R03,date_naissance,2001-07-06,2001-06-26
ENR-003540,CC-002640,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0902,0102
ENR-003542,AN-003726,ECART_NOM,R01,nom,AANDE,ADANDE
ENR-003570,PP-001394,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0399,0905
ENR-003571,AN-002040,ECART_DATE_NAISSANCE,R03,date_naissance,1947-09-12,1947-09-11
ENR-003573,CC-004544,ECART_PRENOMS,R02,prenoms,Racihd,Rachid
ENR-003582,AN-004116,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0399,0207
ENR-003606,AN-001737,ECART_PRENOMS,R02,prenoms,Ospérance,Espérance
ENR-003624,PP-003104,ECART_NOM,R01,nom,AHOOYO,AHOYO
ENR-003630,PP-004649,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1889-03-17,1972-12-31
ENR-003651,AN-000214,ECART_NOM,R01,nom,ASSOGBC,ASSOGBA
ENR-003659,AN-004743,DOUBLON,R11,id_piece,AN-004743,déjà enrôlé sous ENR-003010
ENR-003660,AN-000875,DOUBLON,R11,id_piece,AN-000875,déjà enrôlé sous ENR-003575
