id_enrolement,id_piece,agent_id,centre_enrolement,date_enrolement,code_regle,champ,valeur_saisie,valeur_attendue,gravite
ENR-002127,AN-001309,AG015,Porto-Novo,2025-08-21,R01,nom,NGUATIN,NOUATIN,Haute
ENR-002204,AN-004217,AG007,Djougou,2025-08-29,R01,nom,TCHIOZO,TCHIBOZO,Haute
ENR-002301,AN-004390,AG023,Dassa-Zoumè,2025-09-08,R01,nom,ZANNEU,ZANNOU,Haute
ENR-002318,AN-004512,AG014,Abomey-Calavi,2025-09-10,R01,nom,ADDANDE,ADANDE,Haute
ENR-002369,CC-000968,AG024,Aplahoué,2025-09-16,R01,nom,AHOOUANSOU,AHOUANSOU,Haute
ENR-002442,AN-001297,AG026,Abomey-Calavi,2025-09-23,R01,nom,AHOANSOU,AHOUANSOU,Haute
ENR-002459,AN-002683,AG023,Dassa-Zoumè,2025-09-25,R01,nom,ADNSOU,DANSOU,Haute
ENR-002695,AN-003575,AG020,Lokossa,2025-10-18,R01,nom,MEENSAH,MENSAH,Haute
ENR-002715,AN-003298,AG018,Natitingou,2025-10-20,R01,nom,ZINOU,ZINSOU,Haute
ENR-002800,AN-004388,AG023,Dassa-Zoumè,2025-10-29,R01,nom,AGOSSUO,AGOSSOU,Haute
ENR-002845,CC-002440,AG020,Lokossa,2025-11-03,R01,nom,CDOJIA,CODJIA,Haute
ENR-002931,AN-001122,AG002,Abomey-Calavi,2025-11-13,R01,nom,AKPOVII,AKPOVI,Haute
ENR-002982,AN-001677,AG011,Dassa-Zoumè,2025-11-19,R01,nom,SSAGBO,SAGBO,Haute
ENR-003011,AN-000291,AG021,Ouidah,2025-11-22,R01,nom,IDJOVI,ADJOVI,Haute
ENR-003083,AN-001094,AG030,Natitingou,2025-12-01,R01,nom,DOSOU,DOSSOU,Haute
ENR-003281,PP-000927,AG034,Kandi,2025-12-24,R01,nom,CODJIAA,CODJIA,Haute
ENR-003542,AN-003726,AG023,Dassa-Zoumè,2026-01-20,R01,nom,AANDE,ADANDE,Haute
ENR-003624,PP-003104,AG023,Dassa-Zoumè,2026-01-29,R01,nom,AHOOYO,AHOYO,Haute
ENR-003651,AN-000214,AG023,Dassa-Zoumè,2026-02-01,R01,nom,ASSOGBC,ASSOGBA,Haute
ENR-003891,PP-000960,AG023,Dassa-Zoumè,2026-02-26,R01,nom,VDOUNON,VODOUNON,Haute
ENR-003991,AN-001007,AG040,Parakou,2026-03-08,R01,nom,SCHIBOZO,TCHIBOZO,Haute
ENR-004030,AN-000298,AG009,Ouidah,2026-03-13,R01,nom,SAGGBO,SAGBO,Haute
ENR-004040,AN-002733,AG023,Dassa-Zoumè,2026-03-13,R01,nom,GLEL,GLELE,Haute
ENR-004122,AN-001458,AG019,Djougou,2026-03-23,R01,nom,ADNDE,ADANDE,Haute
ENR-004138,AN-002077,AG019,Djougou,2026-03-24,R01,nom,ZISNOU,ZINSOU,Haute
ENR-004156,AN-002522,AG016,Parakou,2026-03-26,R01,nom,ALLADDAYE,ALLADAYE,Haute
ENR-004773,AN-001902,AG034,Kandi,2026-05-31,R01,nom,CCHABI,CHABI,Haute
ENR-004831,AN-001734,AG024,Aplahoué,2026-06-06,R01,nom,FASSSINOU,FASSINOU,Haute
ENR-004850,AN-003651,AG023,Dassa-Zoumè,2026-06-07,R01,nom,SOULY,SOULEY,Haute
ENR-004882,AN-003230,AG036,Aplahoué,2026-06-10,R01,nom,TOSSOUU,TOSSOU,Haute
ENR-004992,AN-000531,AG023,Dassa-Zoumè,2026-06-23,R01,nom,AMMOUSSOU,AMOUSSOU,Haute
ENR-005054,AN-003204,AG011,Dassa-Zoumè,2026-06-30,R01,nom,DOSSUO,DOSSOU,Haute
ENR-000360,AN-004337,AG037,Cotonou,2025-02-08,R02,prenoms,Kofi,Koffi,Haute
ENR-000375,AN-003133,AG021,Ouidah,2025-02-10,R02,prenoms,Ibrahio,Ibrahim,Haute
ENR-000575,AN-000481,AG021,Ouidah,2025-03-05,R02,prenoms,SSerge,Serge,Haute
ENR-000632,CC-000943,AG027,Porto-Novo,2025-03-11,R02,prenoms,Fidèe,Fidèle,Haute
ENR-000684,AN-001708,AG004,Parakou,2025-03-16,R02,prenoms,Serg,Serge,Haute
ENR-000793,CC-004684,AG022,Kandi,2025-03-26,R02,prenoms,Gildas Brice,Brice Gildas,Haute
ENR-000795,CC-004804,AG033,Ouidah,2025-03-26,R02,prenoms,Carine Flore,Flore Carine,Haute
ENR-000880,AN-002837,AG017,Bohicon,2025-04-04,R02,prenoms,Flore Chimène,Chimène Flore,Haute
ENR-000937,PP-003080,AG024,Aplahoué,2025-04-10,R02,prenoms,Urich,Ulrich,Haute
ENR-001018,AN-001430,AG032,Lokossa,2025-04-21,R02,prenoms,Rachd,Rachid,Haute
ENR-001024,AN-001428,AG019,Djougou,2025-04-22,R02,prenoms,Gildas Arnaud,Arnaud Gildas,Haute
ENR-001416,CC-001801,AG029,Bohicon,2025-06-03,R02,prenoms,hGislain,Ghislain,Haute
ENR-001455,PP-001757,AG005,Bohicon,2025-06-07,R02,prenoms,Salamtaou,Salamatou,Haute
ENR-001717,PP-002930,AG036,Aplahoué,2025-07-04,R02,prenoms,Roussa,Moussa,Haute
ENR-001750,PP-004808,AG039,Porto-Novo,2025-07-07,R02,prenoms,Codjjo,Codjo,Haute
ENR-001766,AN-004614,AG032,Lokossa,2025-07-10,R02,prenoms,Sergge,Serge,Haute
ENR-001805,AN-000518,AG039,Porto-Novo,2025-07-15,R02,prenoms,Salaiatou,Salamatou,Haute
ENR-002082,PP-003658,AG013,Cotonou,2025-08-15,R02,prenoms,Carnie,Carine,Haute
ENR-002112,AN-001642,AG001,Cotonou,2025-08-19,R02,prenoms,Gisèle Bernice,Bernice Gisèle,Haute
ENR-002523,PP-002926,AG040,Parakou,2025-09-30,R02,prenoms,Codj,Codjo,Haute
ENR-002581,PP-000284,AG034,Kandi,2025-10-06,R02,prenoms,Rosine Fatoumata,Fatoumata Rosine,Haute
ENR-002679,AN-003749,AG022,Kandi,2025-10-16,R02,prenoms,Faabrice,Fabrice,Haute
ENR-002746,AN-004509,AG003,Porto-Novo,2025-10-23,R02,prenoms,Comlan Rachid,Rachid Comlan,Haute
ENR-002790,AN-004261,AG033,Ouidah,2025-10-28,R02,prenoms,Rachiid,Rachid,Haute
ENR-002837,AN-004813,AG039,Porto-Novo,2025-11-02,R02,prenoms,alamatou,Salamatou,Haute
ENR-003123,AN-003245,AG030,Natitingou,2025-12-05,R02,prenoms,Fatoumat,Fatoumata,Haute
ENR-003201,AN-003236,AG034,Kandi,2025-12-13,R02,prenoms,Sèèvo,Sèmèvo,Haute
ENR-003233,AN-002818,AG037,Cotonou,2025-12-17,R02,prenoms,Brice Ibrahim,Ibrahim Brice,Haute
ENR-003573,CC-004544,AG031,Djougou,2026-01-24,R02,prenoms,Racihd,Rachid,Haute
ENR-003606,AN-001737,AG010,Kandi,2026-01-28,R02,prenoms,Ospérance,Espérance,Haute
ENR-003925,AN-000306,AG023,Dassa-Zoumè,2026-03-01,R02,prenoms,ariam,Mariam,Haute
ENR-004000,PP-004321,AG007,Djougou,2026-03-09,R02,prenoms,Ayaba Aïcha,Aïcha Ayaba,Haute
ENR-004136,AN-001716,AG023,Dassa-Zoumè,2026-03-24,R02,prenoms,Rachidatou Chimène,Chimène Rachidatou,Haute
ENR-004217,AN-000767,AG030,Natitingou,2026-04-03,R02,prenoms,aFtoumata,Fatoumata,Haute
ENR-004395,AN-002461,AG028,Parakou,2026-04-22,R02,prenoms,Gildsa,Gildas,Haute
ENR-004419,AN-002887,AG001,Cotonou,2026-04-24,R02,prenoms,Yves Ulrich,Ulrich Yves,Haute
ENR-004547,CC-000045,AG001,Cotonou,2026-05-09,R02,prenoms,Nadège Espérance,Espérance Nadège,Haute
ENR-004552,AN-002495,AG002,Abomey-Calavi,2026-05-09,R02,prenoms,Estlele,Estelle,Haute
ENR-004575,CC-004142,AG005,Bohicon,2026-05-12,R02,prenoms,Judit,Judith,Haute
ENR-004686,PP-001966,AG010,Kandi,2026-05-23,R02,prenoms,Sèèmvo,Sèmèvo,Haute
ENR-004710,AN-003753,AG016,Parakou,2026-05-25,R02,prenoms,Juustin,Justin,Haute
ENR-004809,AN-004685,AG020,Lokossa,2026-06-03,R02,prenoms,Ghislain Yves,Yves Ghislain,Haute
ENR-004863,PP-002900,AG040,Parakou,2026-06-08,R02,prenoms,Bienvenu Fidèle,Fidèle Bienvenu,Haute
ENR-000002,AN-000672,AG017,Bohicon,2025-01-01,R03,date_naissance,1902-03-06,1964-02-19,Haute
ENR-000056,AN-001587,AG020,Lokossa,2025-01-07,R03,date_naissance,1999-07-23,1999-07-22,Haute
ENR-000061,CC-004765,AG007,Djougou,2025-01-07,R03,date_naissance,2001-06-25,2001-05-26,Haute
ENR-000303,AN-004948,AG033,Ouidah,2025-02-02,R03,date_naissance,2025-10-17,1975-06-02,Haute
ENR-000304,CC-004999,AG007,Djougou,2025-02-02,R03,date_naissance,1972-06-07,1972-07-06,Haute
ENR-000493,PP-000222,AG007,Djougou,2025-02-23,R03,date_naissance,1982-06-13,1981-06-13,Haute
ENR-000584,AN-000248,AG017,Bohicon,2025-03-06,R03,date_naissance,1894-07-16,1981-09-05,Haute
ENR-000587,AN-001139,AG003,Porto-Novo,2025-03-06,R03,date_naissance,2025-08-18,1995-12-06,Haute
ENR-000698,CC-002811,AG014,Abomey-Calavi,2025-03-17,R03,date_naissance,2005-07-04,2005-06-24,Haute
ENR-000727,AN-004301,AG007,Djougou,2025-03-19,R03,date_naissance,1993-05-25,1993-05-15,Haute
ENR-000803,AN-002893,AG002,Abomey-Calavi,2025-03-27,R03,date_naissance,2025-07-13,1995-11-19,Haute
ENR-001059,AN-000916,AG007,Djougou,2025-04-26,R03,date_naissance,1979-05-08,1979-08-05,Haute
ENR-001082,AN-003149,AG038,Abomey-Calavi,2025-04-28,R03,date_naissance,1900-08-05,1992-11-30,Haute
ENR-001113,AN-000883,AG016,Parakou,2025-05-01,R03,date_naissance,2014-05-24,2013-05-24,Haute
ENR-001137,AN-002977,AG007,Djougou,2025-05-03,R03,date_naissance,2010-01-15,2010-01-12,Haute
ENR-001153,AN-004289,AG007,Djougou,2025-05-04,R03,date_naissance,1991-04-25,1991-03-26,Haute
ENR-001194,AN-001771,AG017,Bohicon,2025-05-09,R03,date_naissance,2003-05-06,2003-06-05,Haute
ENR-001219,AN-001118,AG013,Cotonou,2025-05-12,R03,date_naissance,1998-09-16,1998-09-15,Haute
ENR-001232,AN-002712,AG033,Ouidah,2025-05-13,R03,date_naissance,1971-10-17,1971-10-14,Haute
ENR-001233,CC-003037,AG038,Abomey-Calavi,2025-05-13,R03,date_naissance,2026-04-22,1981-02-26,Haute
ENR-001254,PP-001593,AG021,Ouidah,2025-05-15,R03,date_naissance,2008-08-07,2008-07-08,Haute
ENR-001295,AN-003445,AG007,Djougou,2025-05-19,R03,date_naissance,1994-11-06,1994-11-03,Haute
ENR-001357,AN-002728,AG020,Lokossa,2025-05-27,R03,date_naissance,1891-09-20,2018-08-09,Haute
ENR-001360,CC-003703,AG037,Cotonou,2025-05-27,R03,date_naissance,2008-03-21,2008-03-18,Haute
ENR-001375,AN-002161,AG005,Bohicon,2025-05-29,R03,date_naissance,2002-09-28,2002-09-27,Haute
ENR-001468,AN-002701,AG010,Kandi,2025-06-08,R03,date_naissance,1961-05-22,1960-05-22,Haute
ENR-001507,AN-002278,AG023,Dassa-Zoumè,2025-06-13,R03,date_naissance,1997-11-16,1997-11-14,Haute
ENR-001601,AN-002797,AG033,Ouidah,2025-06-23,R03,date_naissance,1903-07-16,2001-06-21,Haute
ENR-001679,PP-000403,AG007,Djougou,2025-07-01,R03,date_naissance,1987-12-02,1987-02-12,Haute
ENR-001681,AN-002327,AG010,Kandi,2025-07-01,R03,date_naissance,2026-01-25,1990-08-08,Haute
ENR-001700,AN-001490,AG033,Ouidah,2025-07-03,R03,date_naissance,1962-04-03,1962-03-31,Haute
ENR-001802,CC-002771,AG017,Bohicon,2025-07-14,R03,date_naissance,2026-07-10,1996-02-28,Haute
ENR-001826,AN-001738,AG009,Ouidah,2025-07-18,R03,date_naissance,1998-10-05,1998-05-10,Haute
ENR-001827,PP-001833,AG038,Abomey-Calavi,2025-07-18,R03,date_naissance,2021-06-10,2021-10-06,Haute
ENR-001998,AN-000421,AG027,Porto-Novo,2025-08-07,R03,date_naissance,1955-08-08,1955-07-29,Haute
ENR-002044,CC-003427,AG037,Cotonou,2025-08-11,R03,date_naissance,1979-05-30,1979-05-27,Haute
ENR-002048,PP-001449,AG029,Bohicon,2025-08-12,R03,date_naissance,1999-12-29,1999-12-28,Haute
ENR-002058,AN-000663,AG023,Dassa-Zoumè,2025-08-13,R03,date_naissance,2026-03-24,2015-04-29,Haute
ENR-002223,AN-002400,AG007,Djougou,2025-08-31,R03,date_naissance,1998-04-01,1998-03-02,Haute
ENR-002297,PP-002238,AG005,Bohicon,2025-09-08,R03,date_naissance,1968-06-03,1967-06-04,Haute
ENR-002336,AN-003913,AG007,Djougou,2025-09-12,R03,date_naissance,1968-04-11,1968-11-04,Haute
ENR-002407,AN-000759,AG033,Ouidah,2025-09-20,R03,date_naissance,2011-08-21,2011-08-20,Haute
ENR-002562,AN-002264,AG014,Abomey-Calavi,2025-10-04,R03,date_naissance,1997-08-21,1997-08-11,Haute
ENR-002653,CC-000944,AG007,Djougou,2025-10-14,R03,date_naissance,2015-08-19,2014-08-19,Haute
ENR-002724,PP-003905,AG023,Dassa-Zoumè,2025-10-21,R03,date_naissance,2026-10-25,2022-05-16,Haute
ENR-002787,PP-001070,AG007,Djougou,2025-10-28,R03,date_naissance,1993-06-07,1993-07-06,Haute
ENR-002847,AN-003534,AG037,Cotonou,2025-11-03,R03,date_naissance,1998-07-28,1998-07-18,Haute
ENR-002877,AN-001028,AG007,Djougou,2025-11-07,R03,date_naissance,2014-09-23,2014-09-21,Haute
ENR-002914,AN-001204,AG040,Parakou,2025-11-11,R03,date_naissance,1987-03-02,1987-02-03,Haute
ENR-002968,AN-001368,AG001,Cotonou,2025-11-18,R03,date_naissance,1965-05-12,1965-12-05,Haute
ENR-003013,AN-000911,AG007,Djougou,2025-11-22,R03,date_naissance,2026-10-09,2018-11-16,Haute
ENR-003140,PP-002135,AG020,Lokossa,2025-12-07,R03,date_naissance,2005-12-16,2005-12-15,Haute
ENR-003262,AN-002194,AG007,Djougou,2025-12-21,R03,date_naissance,2026-10-27,1963-07-03,Haute
ENR-003285,AN-001436,AG007,Djougou,2025-12-24,R03,date_naissance,1993-01-06,1993-01-05,Haute
ENR-003373,PP-001182,AG002,Abomey-Calavi,2026-01-01,R03,date_naissance,1900-08-25,1988-01-01,Haute
ENR-003387,AN-003319,AG029,Bohicon,2026-01-02,R03,date_naissance,1988-07-10,1987-07-11,Haute
ENR-003533,AN-001053,AG019,Djougou,2026-01-19,R03,date_naissance,2001-07-06,2001-06-26,Haute
ENR-003571,AN-002040,AG034,Kandi,2026-01-24,R03,date_naissance,1947-09-12,1947-09-11,Haute
ENR-003630,PP-004649,AG025,Cotonou,2026-01-29,R03,date_naissance,1889-03-17,1972-12-31,Haute
ENR-003662,PP-002427,AG036,Aplahoué,2026-02-02,R03,date_naissance,2016-10-10,2016-09-10,Haute
ENR-003832,AN-002320,AG007,Djougou,2026-02-20,R03,date_naissance,1996-08-13,1996-08-11,Haute
ENR-003936,AN-001823,AG008,Lokossa,2026-03-02,R03,date_naissance,1982-07-08,1982-08-07,Haute
ENR-004043,AN-003321,AG014,Abomey-Calavi,2026-03-13,R03,date_naissance,1997-05-19,1997-05-18,Haute
ENR-004102,AN-004592,AG029,Bohicon,2026-03-20,R03,date_naissance,1893-09-14,2000-06-02,Haute
ENR-004104,AN-000474,AG013,Cotonou,2026-03-21,R03,date_naissance,1969-04-26,1969-04-25,Haute
ENR-004147,PP-002202,AG006,Natitingou,2026-03-25,R03,date_naissance,1944-09-01,1944-01-09,Haute
ENR-004166,AN-003103,AG023,Dassa-Zoumè,2026-03-27,R03,date_naissance,2026-04-11,1979-09-15,Haute
ENR-004316,AN-004747,AG026,Abomey-Calavi,2026-04-13,R03,date_naissance,1979-01-07,1979-07-01,Haute
ENR-004469,AN-003620,AG007,Djougou,2026-04-29,R03,date_naissance,1886-12-03,1975-12-24,Haute
ENR-004569,AN-004444,AG020,Lokossa,2026-05-11,R03,date_naissance,2011-10-22,2011-10-21,Haute
ENR-004670,PP-002839,AG018,Natitingou,2026-05-21,R03,date_naissance,1981-03-15,1981-02-13,Haute
ENR-004671,AN-003839,AG001,Cotonou,2026-05-21,R03,date_naissance,2027-06-07,1972-07-30,Haute
ENR-004719,AN-001005,AG008,Lokossa,2026-05-26,R03,date_naissance,1949-12-01,1949-11-28,Haute
ENR-004730,AN-004254,AG025,Cotonou,2026-05-26,R03,date_naissance,1992-12-07,1992-11-07,Haute
ENR-004749,CC-002159,AG032,Lokossa,2026-05-29,R03,date_naissance,1900-12-13,2024-03-23,Haute
ENR-004781,AN-001081,AG009,Ouidah,2026-06-01,R03,date_naissance,1975-04-03,1974-04-03,Haute
ENR-004894,AN-002590,AG026,Abomey-Calavi,2026-06-11,R03,date_naissance,1971-05-28,1971-05-18,Haute
ENR-005045,PP-003288,AG007,Djougou,2026-06-29,R03,date_naissance,1971-03-18,1971-03-15,Haute
ENR-000345,PP-001232,AG008,Lokossa,2025-02-07,R04,sexe,M,F,Haute
ENR-000568,AN-002734,AG001,Cotonou,2025-03-04,R04,sexe,M,F,Haute
ENR-000748,AN-001488,AG026,Abomey-Calavi,2025-03-22,R04,sexe,M,F,Haute
ENR-000776,AN-000649,AG022,Kandi,2025-03-25,R04,sexe,M,F,Haute
ENR-001566,AN-002109,AG017,Bohicon,2025-06-19,R04,sexe,M,F,Haute
ENR-001651,PP-000259,AG031,Djougou,2025-06-28,R04,sexe,M,F,Haute
ENR-001901,AN-004782,AG018,Natitingou,2025-07-25,R04,sexe,F,M,Haute
ENR-002016,AN-001665,AG035,Dassa-Zoumè,2025-08-09,R04,sexe,F,M,Haute
ENR-002079,AN-002554,AG031,Djougou,2025-08-15,R04,sexe,M,F,Haute
ENR-002139,AN-004987,AG011,Dassa-Zoumè,2025-08-21,R04,sexe,F,M,Haute
ENR-002399,AN-002130,AG036,Aplahoué,2025-09-19,R04,sexe,M,F,Haute
ENR-002465,AN-000176,AG038,Abomey-Calavi,2025-09-26,R04,sexe,F,M,Haute
ENR-002852,AN-001977,AG020,Lokossa,2025-11-04,R04,sexe,M,F,Haute
ENR-002899,AN-000098,AG021,Ouidah,2025-11-09,R04,sexe,M,F,Haute
ENR-003170,AN-004931,AG026,Abomey-Calavi,2025-12-10,R04,sexe,F,M,Haute
ENR-003431,AN-001327,AG023,Dassa-Zoumè,2026-01-08,R04,sexe,M,F,Haute
ENR-003784,CC-002996,AG012,Aplahoué,2026-02-14,R04,sexe,F,M,Haute
ENR-003863,AN-002910,AG006,Natitingou,2026-02-23,R04,sexe,F,M,Haute
ENR-004311,AN-003553,AG012,Aplahoué,2026-04-13,R04,sexe,M,F,Haute
ENR-004342,AN-002577,AG040,Parakou,2026-04-16,R04,sexe,F,M,Haute
ENR-004457,AN-004100,AG006,Natitingou,2026-04-28,R04,sexe,F,M,Haute
ENR-004629,AN-002482,AG036,Aplahoué,2026-05-17,R04,sexe,M,F,Haute
ENR-004653,AN-001964,AG023,Dassa-Zoumè,2026-05-20,R04,sexe,F,M,Haute
ENR-004684,CC-000881,AG039,Porto-Novo,2026-05-23,R04,sexe,F,M,Haute
ENR-004915,CC-003765,AG027,Porto-Novo,2026-06-13,R04,sexe,F,M,Haute
ENR-000086,AN-000895,AG012,Aplahoué,2025-01-10,R05,code_commune_naissance,0399,0304,Haute
ENR-000232,CC-001460,AG016,Parakou,2025-01-26,R05,code_commune_naissance,0199,1009,Haute
ENR-000260,AN-001698,AG017,Bohicon,2025-01-29,R05,code_commune_naissance,1008,0704,Haute
ENR-000504,AN-002443,AG037,Cotonou,2025-02-24,R05,code_commune_naissance,1001,0402,Haute
ENR-000830,AN-000820,AG018,Natitingou,2025-03-30,R05,code_commune_naissance,0209,1203,Haute
ENR-000940,AN-000886,AG036,Aplahoué,2025-04-11,R05,code_commune_naissance,1006,0605,Haute
ENR-000960,AN-003944,AG039,Porto-Novo,2025-04-13,R05,code_commune_naissance,0201,0405,Haute
ENR-001150,AN-001753,AG001,Cotonou,2025-05-04,R05,code_commune_naissance,0202,0205,Haute
ENR-001160,AN-000766,AG003,Porto-Novo,2025-05-05,R05,code_commune_naissance,0199,1209,Haute
ENR-001206,AN-004503,AG006,Natitingou,2025-05-10,R05,code_commune_naissance,0199,0102,Haute
ENR-001258,AN-003196,AG008,Lokossa,2025-05-15,R05,code_commune_naissance,0801,0406,Haute
ENR-001271,CC-001454,AG019,Djougou,2025-05-17,R05,code_commune_naissance,1203,1004,Haute
ENR-001276,CC-002946,AG006,Natitingou,2025-05-17,R05,code_commune_naissance,1299,0502,Haute
ENR-001398,AN-002697,AG038,Abomey-Calavi,2025-06-01,R05,code_commune_naissance,0199,1009,Haute
ENR-001424,AN-000959,AG037,Cotonou,2025-06-04,R05,code_commune_naissance,0000,0304,Haute
ENR-001511,AN-004983,AG030,Natitingou,2025-06-13,R05,code_commune_naissance,0606,0104,Haute
ENR-001515,CC-001478,AG034,Kandi,2025-06-14,R05,code_commune_naissance,0501,0605,Haute
ENR-001667,PP-003027,AG036,Aplahoué,2025-06-29,R05,code_commune_naissance,1102,1006,Haute
ENR-001695,AN-003856,AG027,Porto-Novo,2025-07-02,R05,code_commune_naissance,1104,0904,Haute
ENR-001926,AN-003787,AG002,Abomey-Calavi,2025-07-28,R05,code_commune_naissance,1007,0204,Haute
ENR-002036,CC-004331,AG028,Parakou,2025-08-10,R05,code_commune_naissance,0905,0306,Haute
ENR-002289,AN-003894,AG027,Porto-Novo,2025-09-07,R05,code_commune_naissance,0606,0203,Haute
ENR-002603,AN-003938,AG024,Aplahoué,2025-10-08,R05,code_commune_naissance,0399,0604,Haute
ENR-002626,CC-003441,AG039,Porto-Novo,2025-10-10,R05,code_commune_naissance,0407,0403,Haute
ENR-002648,AN-000660,AG011,Dassa-Zoumè,2025-10-14,R05,code_commune_naissance,0105,0408,Haute
ENR-002827,AN-003797,AG028,Parakou,2025-11-01,R05,code_commune_naissance,9999,0405,Haute
ENR-002944,AN-004924,AG034,Kandi,2025-11-14,R05,code_commune_naissance,0505,0307,Haute
ENR-003153,AN-003561,AG015,Porto-Novo,2025-12-08,R05,code_commune_naissance,0105,0405,Haute
ENR-003346,AN-003272,AG015,Porto-Novo,2025-12-29,R05,code_commune_naissance,0406,0204,Haute
ENR-003422,AN-001768,AG006,Natitingou,2026-01-07,R05,code_commune_naissance,0407,1002,Haute
ENR-003510,AN-000967,AG032,Lokossa,2026-01-17,R05,code_commune_naissance,1201,0106,Haute
ENR-003540,CC-002640,AG004,Parakou,2026-01-20,R05,code_commune_naissance,0902,0102,Haute
ENR-003570,PP-001394,AG003,Porto-Novo,2026-01-24,R05,code_commune_naissance,0399,0905,Haute
ENR-003582,AN-004116,AG010,Kandi,2026-01-25,R05,code_commune_naissance,0399,0207,Haute
ENR-003914,PP-000514,AG034,Kandi,2026-02-28,R05,code_commune_naissance,9999,0302,Haute
ENR-003919,AN-002833,AG029,Bohicon,2026-02-28,R05,code_commune_naissance,0202,0506,Haute
ENR-003973,AN-000439,AG010,Kandi,2026-03-06,R05,code_commune_naissance,0399,0703,Haute
ENR-004082,PP-001202,AG007,Djougou,2026-03-18,R05,code_commune_naissance,0000,0606,Haute
ENR-004170,AN-004727,AG021,Ouidah,2026-03-27,R05,code_commune_naissance,9999,0703,Haute
ENR-004213,PP-003448,AG040,Parakou,2026-04-02,R05,code_commune_naissance,0201,0207,Haute
ENR-004244,AN-000230,AG011,Dassa-Zoumè,2026-04-06,R05,code_commune_naissance,1299,0801,Haute
ENR-004310,AN-003444,AG031,Djougou,2026-04-13,R05,code_commune_naissance,1004,0306,Haute
ENR-004313,CC-003690,AG026,Abomey-Calavi,2026-04-13,R05,code_commune_naissance,0208,1006,Haute
ENR-004319,AN-001345,AG005,Bohicon,2026-04-14,R05,code_commune_naissance,0199,0504,Haute
ENR-004408,AN-003008,AG024,Aplahoué,2026-04-23,R05,code_commune_naissance,0199,1102,Haute
ENR-004412,AN-004156,AG003,Porto-Novo,2026-04-23,R05,code_commune_naissance,0405,0703,Haute
ENR-004514,CC-000180,AG018,Natitingou,2026-05-05,R05,code_commune_naissance,1202,0102,Haute
ENR-004558,CC-001892,AG025,Cotonou,2026-05-10,R05,code_commune_naissance,1299,0504,Haute
ENR-004618,PP-003061,AG025,Cotonou,2026-05-16,R05,code_commune_naissance,9999,0205,Haute
ENR-004627,AN-002064,AG019,Djougou,2026-05-17,R05,code_commune_naissance,0199,0408,Haute
ENR-004638,AN-001133,AG031,Djougou,2026-05-18,R05,code_commune_naissance,0199,1207,Haute
ENR-004678,AN-002992,AG018,Natitingou,2026-05-22,R05,code_commune_naissance,9999,0502,Haute
ENR-004836,AN-000203,AG032,Lokossa,2026-06-07,R05,code_commune_naissance,0305,0606,Haute
ENR-004925,AN-002650,AG006,Natitingou,2026-06-14,R05,code_commune_naissance,9999,0704,Haute
