id_enrolement,id_piece,type_piece,agent_id,centre_enrolement,date_enrolement,nom,prenoms,date_naissance,sexe,code_commune_naissance,nom_mere,telephone
ENR-000033,PP-003125,PASSEPORT,AG021,Ouidah,2025-01-04,ZINSOU,Sèmèvo,1981-07-22,F,0102,HOUNGBO Estelle,
ENR-000034,CC-004113,CARTE_CONSULAIRE,AG003,Porto-Novo,2025-01-04,CODJIA,Romaric,1994-08-07,M,1008,HOUNSOU Ayaba,0120130621
ENR-000035,AN-004144,ACTE_NAISSANCE,AG022,Kandi,2025-01-04,MENSAH,Mariam,1986-08-13,F,0704,ADANDE Sylvie,0182794055
ENR-000036,AN-000498,ACTE_NAISSANCE,AG003,Porto-Novo,2025-01-05,AHOYO,Sylvie,2004-11-22,F,0405,YAROU Flore,0163432063
ENR-000037,AN-000584,ACTE_NAISSANCE,AG025,Cotonou,2025-01-05,GLELE,Ulrich,2002-10-25,M,0207,KPADONOU Prudence,0116236546
ENR-000038,AN-001397,ACTE_NAISSANCE,AG008,Lokossa,2025-01-05,VODOUNON,Aïcha Rachidatou,2004-12-24,F,1008,YAROU Fatoumata,0124984814
ENR-000039,AN-001601,ACTE_NAISSANCE,AG022,Kandi,2025-01-05,YAROU,Nadège Chimène,1984-04-06,F,0404,CHABI Sènami,0107535814
ENR-000040,CC-001727,CARTE_CONSULAIRE,AG040,Parakou,2025-01-05,ALLADAYE,Estelle,1997-07-23,F,0101,ADANDE Carine,
ENR-000041,AN-002674,ACTE_NAISSANCE,AG012,Aplahoué,2025-01-05,HOUNSOU,Yves Codjo,2005-07-16,M,0101,GLELE Rosine,0159492845
ENR-000042,PP-003567,PASSEPORT,AG004,Parakou,2025-01-05,TCHIBOZO,Bienvenu,1958-05-11,M,0205,AHOUANSOU Sènami,0113794535
ENR-000043,AN-003838,ACTE_NAISSANCE,AG023,Dassa-Zoumè,2025-01-05,GLELE,Bienvenu Justin,2004-09-26,M,0902,ADJOVI Carine,0166559875
ENR-000044,AN-004446,ACTE_NAISSANCE,AG013,Cotonou,2025-01-05,HOUNKPATIN,Romaric,1989-12-20,M,1105,DANSOU Prudence,0147757405
ENR-000045,AN-001926,ACTE_NAISSANCE,AG035,Dassa-Zoumè,2025-01-06,AGOSSOU,Sylvie Bernice,1990-07-10,F,1208,LOKONON Chimène,0123839032
ENR-000046,PP-002813,PASSEPORT,AG039,Porto-Novo,2025-01-06,BONI,Brice,1961-02-28,M,1205,AMOUSSOU Ayaba,0190020619
ENR-000047,AN-002987,ACTE_NAISSANCE,AG035,Dassa-Zoumè,2025-01-06,TCHIBOZO,Ibrahim Mahougnon,1985-11-19,M,0106,HOUNSOU Sylvie,0112413209
ENR-000048,AN-003632,ACTE_NAISSANCE,AG029,Bohicon,2025-01-06,GLELE,Moussa Comlan,1950-09-06,M,1206,GBAGUIDI Sèmèvo,0188729697
ENR-000049,AN-003741,ACTE_NAISSANCE,AG023,Dassa-Zoumè,2025-01-06,TCHIBOZO,Aïcha,1951-04-11,F,0306,HOUNKPATIN Flore,0103857873
ENR-000050,PP-003934,PASSEPORT,AG036,Aplahoué,2025-01-06,TCHIBOZO,Koffi Yves,1968-03-06,M,1008,GLELE Rosine,0128087735
ENR-000051,PP-004463,PASSEPORT,AG022,Kandi,2025-01-06,HOUNSOU,Gildas,1956-01-10,M,1102,YAROU Nadège,0143196119
ENR-000052,AN-004543,ACTE_NAISSANCE,AG024,Aplahoué,2025-01-06,CHABI,Sèmèvo,1980-10-13,F,0605,SAGBO Gisèle,0151409908
ENR-000053,AN-004841,ACTE_NAISSANCE,AG030,Natitingou,2025-01-06,ALLADAYE,Rachidatou,2004-03-31,F,0505,AHOUANSOU Ayaba,0169771926
ENR-000054,AN-000675,ACTE_NAISSANCE,AG035,Dassa-Zoumè,2025-01-07,AHOYO,Sylvie Carine,1963-04-21,F,0205,BIO Judith,
ENR-000055,AN-001532,ACTE_NAISSANCE,AG020,Lokossa,2025-01-07,ALLADAYE,Rodrigue,1964-01-04,M,0703,MENSAH Estelle,0122646974
ENR-000056,AN-001587,ACTE_NAISSANCE,AG020,Lokossa,2025-01-07,MENSAH,Gildas,1999-07-22,M,0904,AHOUANSOU Salamatou,0160289989
ENR-000057,CC-002025,CARTE_CONSULAIRE,AG018,Natitingou,2025-01-07,TOSSOU,Ayaba,1967-02-19,F,1008,AHOUANSOU Sylvie,0168827869
ENR-000058,PP-002759,PASSEPORT,AG001,Cotonou,2025-01-07,AHOYO,Sènami,1959-06-17,F,0103,SOSSOU Sènami,0111934380
ENR-000059,CC-003795,CARTE_CONSULAIRE,AG034,Kandi,2025-01-07,ADJOVI,Gisèle Carine,1950-06-13,F,0703,AHOUANSOU Sylvie,
ENR-000060,PP-004065,PASSEPORT,AG021,Ouidah,2025-01-07,AGBODJAN,  Aïcha ,2006-10-10,F,1104,SAGBO Sylvie,0155720703
ENR-000061,CC-004765,CARTE_CONSULAIRE,AG007,Djougou,2025-01-07,QUENUM,Justin,2001-05-26,M,0404,SOSSOU Sèmèvo,0107615148
ENR-000062,AN-000470,ACTE_NAISSANCE,AG005,Bohicon,2025-01-08,TOSSOU,Flore Estelle,2005-12-03,F,0904,HOUESSOU Judith,0135825922
ENR-000063,AN-000499,ACTE_NAISSANCE,AG033,Ouidah,2025-01-08,BONI,Mariam,1991-06-20,F,1209,QUENUM Gisèle,0136766383
ENR-000064,AN-000786,ACTE_NAISSANCE,AG002,Abomey-Calavi,2025-01-08,AGBODJAN,Ibrahim Ghislain,2009-01-19,M,0207,ZANNOU Chimène,0171307483
ENR-000065,AN-000854,ACTE_NAISSANCE,AG023,Dassa-Zoumè,2025-01-08,MENSAH,Fabrice,1997-05-10,M,1002,BIO Bernice,
ENR-000066,AN-000894,ACTE_NAISSANCE,AG021,Ouidah,2025-01-08,AGOSSOU,Fabrice,1962-12-26,M,0604,IDRISSOU Rosine,0125956868
ENR-000067,AN-001754,ACTE_NAISSANCE,AG039,Porto-Novo,2025-01-08,HOUESSOU,Salamatou,2017-06-25,F,0306,TCHIBOZO Rosine,0123850366
ENR-000068,AN-002031,ACTE_NAISSANCE,AG015,Porto-Novo,2025-01-08,FASSINOU,Arnaud Yves,2004-03-22,M,1105,SOSSOU Chimène,0102666673
ENR-000069,AN-002114,ACTE_NAISSANCE,AG019,Djougou,2025-01-08,ADANDE,Judith,1978-04-28,F,0407,BIO Fatoumata,0198987457
ENR-000070,AN-002457,ACTE_NAISSANCE,AG035,Dassa-Zoumè,2025-01-08,CHABI,Yves,1986-09-15,M,1009,HOUNSOU Chimène,0161608843
ENR-000071,AN-003729,ACTE_NAISSANCE,AG017,Bohicon,2025-01-08,CHABI,Chimène,2005-05-09,F,0903,DANSOU Gisèle,0155614844
ENR-000072,PP-003732,PASSEPORT,AG029,Bohicon,2025-01-08,TOSSOU,Mahougnon Rodrigue,1997-03-09,M,1209,QUENUM Salamatou,0163690921
ENR-000073,AN-004069,ACTE_NAISSANCE,AG018,Natitingou,2025-01-08,SAGBO,Koffi Justin,2019-07-21,M,0201,TOGBE Rachidatou,0196145727
ENR-000074,AN-004152,ACTE_NAISSANCE,AG033,Ouidah,2025-01-08,AHOUANSOU,Bernice Sylvie,1998-10-13,F,0403,DANSOU Estelle,
ENR-000075,CC-000455,CARTE_CONSULAIRE,AG036,Aplahoué,2025-01-09,ADJOVI,Rodrigue Ulrich,2016-01-07,M,1103,TOSSOU Judith,0148045341
ENR-000076,AN-000612,ACTE_NAISSANCE,AG025,Cotonou,2025-01-09,NOUATIN,Gisèle,1968-03-03,F,0902,BIO Mariam,0198980325
ENR-000077,AN-001550,ACTE_NAISSANCE,AG028,Parakou,2025-01-09,HOUNGBO,Fabrice,2004-01-19,M,0602,ASSOGBA Aïcha,0178506337
ENR-000078,AN-001820,ACTE_NAISSANCE,AG017,Bohicon,2025-01-09,SOSSOU,Judith Nadège,1951-06-04,F,0403,TOGBE Carine,0100200432
ENR-000079,CC-002414,CARTE_CONSULAIRE,AG025,Cotonou,2025-01-09,DOSSOU,Nadège,2023-02-10,F,1207,ALLADAYE Sylvie,0103948892
ENR-000080,PP-002490,PASSEPORT,AG006,Natitingou,2025-01-09,AGBODJAN,Fabrice,1985-12-22,M,0906,CODJIA Gisèle,0172147207
ENR-000081,CC-003345,CARTE_CONSULAIRE,AG039,Porto-Novo,2025-01-09,KOUKPAKI,Fatoumata Ayaba,1982-09-03,F,0406,DANSOU Prudence,0107212731
ENR-000082,CC-003475,CARTE_CONSULAIRE,AG029,Bohicon,2025-01-09,ALLADAYE,Fidele,1987-03-30,M,1206,TOGBE Ayaba,0101159749
ENR-000083,AN-003537,ACTE_NAISSANCE,AG012,Aplahoué,2025-01-09,tossou,Flore,2003-06-09,F,1008,AHOYO Nadège,0166952695
ENR-000084,AN-004575,ACTE_NAISSANCE,AG023,Dassa-Zoumè,2025-01-09,TCHIBOZO,Sèmèvo,2001-05-09,F,0403,YAROU Mariam,
ENR-000085,AN-000458,ACTE_NAISSANCE,AG012,Aplahoué,2025-01-10,ADJOVI,Rachidatou,1976-05-22,F,0603,SOULEY Nadège,
ENR-000086,AN-000895,ACTE_NAISSANCE,AG012,Aplahoué,2025-01-10,HOUNSOU,Aïcha,1967-03-03,F,0304,ZANNOU Carine,0158290852
ENR-000087,PP-000997,PASSEPORT,AG032,Lokossa,2025-01-10,DOSSOU,Codjo,1990-06-25,M,0203,ADJOVI Carine,0137202926
ENR-000088,PP-002140,PASSEPORT,AG003,Porto-Novo,2025-01-10,CODJIA,Yves,1989-03-31,M,1103,HOUNKPATIN Sèmèvo,
ENR-000089,CC-002436,CARTE_CONSULAIRE,AG027,Porto-Novo,2025-01-10,AGOSSOU,Estelle,1975-11-06,F,1003,AKPOVI Chimène,0108024160
ENR-000090,AN-002509,ACTE_NAISSANCE,AG001,Cotonou,2025-01-10,MENSAH,  Rodrigue   Justin ,1993-11-27,M,0905,CHABI Aïcha,0197381448
ENR-000091,AN-003083,ACTE_NAISSANCE,AG019,Djougou,2025-01-10,AGOSSOU,Romaric,1970-01-01,M,1204,TCHIBOZO Flore,0107729118
ENR-000092,AN-003184,ACTE_NAISSANCE,AG028,Parakou,2025-01-10,GBAGUIDI,Justin,2007-11-19,M,1007,MENSAH Gisèle,0142561353
ENR-000093,AN-003484,ACTE_NAISSANCE,AG013,Cotonou,2025-01-10,AGBODJAN,Ghislain,1942-06-14,M,1201,BIO Sènami,0138524684
ENR-000094,AN-003625,ACTE_NAISSANCE,AG018,Natitingou,2025-01-10,ALLADAYE,Rodrigue,2007-10-08,M,0105,MENSAH Sèmèvo,0153166674
ENR-000095,PP-003908,PASSEPORT,AG038,Abomey-Calavi,2025-01-10,CODJIA,Romaric,1973-03-15,M,0103,CHABI Ayaba,0149595943
ENR-000096,PP-003924,PASSEPORT,AG031,Djougou,2025-01-10,AHOUANSOU,Romaric,1969-03-26,M,1105,TCHIBOZO Bernice,0135278332
ENR-000097,PP-004053,PASSEPORT,AG004,Parakou,2025-01-10,KPADONOU,Ibrahim,1969-04-23,M,0103,FASSINOU Nadège,0153892336
ENR-000098,AN-004657,ACTE_NAISSANCE,AG019,Djougou,2025-01-10,AHOUANSOU,Espérance,1979-01-24,F,1003,GLELE Salamatou,0140019846
ENR-000099,CC-000144,CARTE_CONSULAIRE,AG002,Abomey-Calavi,2025-01-11,SOSSOU,Ulrich,2014-05-31,M,1203,KOUKPAKI Gisèle,0182695504
ENR-000100,AN-002146,ACTE_NAISSANCE,AG002,Abomey-Calavi,2025-01-11,ADJOVI,Mariam,1984-05-11,F,1002,NOUATIN Judith,0198940856
ENR-000101,CC-002236,CARTE_CONSULAIRE,AG028,Parakou,2025-01-11,HOUNSOU,Rodrigue,2007-01-30,M,0201,MENSAH Flore,0162005910
ENR-000102,AN-004352,ACTE_NAISSANCE,AG009,Ouidah,2025-01-11,MENSAH,Rachidatou,2006-10-08,F,0504,SOULEY Prudence,0117292098
ENR-000103,AN-004720,ACTE_NAISSANCE,AG020,Lokossa,2025-01-11,AGBODJAN,Ghislain,2020-07-23,M,0307,KIKI Ayaba,0105840612
ENR-000104,AN-000029,ACTE_NAISSANCE,AG039,Porto-Novo,2025-01-12,AHOYO,Romaric Bienvenu,1945-11-14,M,0406,BONI Nadège,0141968982
ENR-000105,AN-000181,ACTE_NAISSANCE,AG019,Djougou,2025-01-12,DOSSOU,Mahougnon,1985-08-17,M,0605,DANSOU Estelle,0186071964
ENR-000106,CC-001542,CARTE_CONSULAIRE,AG015,Porto-Novo,2025-01-12,ALLADAYE,Mahougnon,1992-03-26,M,0406,SAGBO Ayaba,0198875346
ENR-000107,PP-002015,PASSEPORT,AG008,Lokossa,2025-01-12,YAROU,Rachid Ghislain,1989-02-23,M,0401,HOUNSOU Judith,0161319092
ENR-000108,AN-002298,ACTE_NAISSANCE,AG034,Kandi,2025-01-12,KPADONOU,Aïcha,2000-09-21,F,0201,HOUNSOU Sèmèvo,0185014443
ENR-000109,AN-003802,ACTE_NAISSANCE,AG038,Abomey-Calavi,2025-01-12,QUENUM,Rachid,1965-06-02,M,0206,ZINSOU Fatoumata,0156521790
ENR-000110,AN-004119,ACTE_NAISSANCE,AG033,Ouidah,2025-01-12,HOUNSOU,Serge,1980-06-09,M,0404,MENSAH Aïcha,0145955466
ENR-000111,AN-004467,ACTE_NAISSANCE,AG010,Kandi,2025-01-12,VODOUNON,Chimène Salamatou,1980-09-05,F,0702,BONI Carine,0126858241
ENR-000112,AN-000198,ACTE_NAISSANCE,AG003,Porto-Novo,2025-01-13,SAGBO,Serge,1972-08-05,M,0504,OSSENI Flore,0145433839
ENR-000113,PP-000253,PASSEPORT,AG021,Ouidah,2025-01-13,HOUNGBO,Gisèle,2001-02-24,F,1206,ASSOGBA Carine,0182758147
ENR-000114,AN-000489,ACTE_NAISSANCE,AG001,Cotonou,2025-01-13,ZINSOU,Fatoumata,2015-09-10,F,1002,AKPOVI Gisèle,0180031779
ENR-000115,AN-000816,ACTE_NAISSANCE,AG002,Abomey-Calavi,2025-01-13,KPADONOU,Serge,1956-11-07,M,1208,KIKI Carine,0156804829
ENR-000116,PP-000934,PASSEPORT,AG029,Bohicon,2025-01-13,KIKI,Ibrahim Romaric,1988-11-28,M,0603,VODOUNON Bernice,0154712360
ENR-000117,AN-000975,ACTE_NAISSANCE,AG011,Dassa-Zoumè,2025-01-13,MENSAH,Bernice Mariam,1994-06-30,F,0801,AHOUANSOU Sèmèvo,
ENR-000118,PP-001350,PASSEPORT,AG020,Lokossa,2025-01-13,AHOUANSOU,Nadège Carine,2003-02-04,F,0602,OSSENI Aïcha,0187350381
ENR-000119,AN-002405,ACTE_NAISSANCE,AG006,Natitingou,2025-01-13,KOUKPAKI,Fatoumata,1997-07-26,F,1208,DOSSOU Aïcha,0161039340
ENR-000120,AN-002642,ACTE_NAISSANCE,AG040,Parakou,2025-01-13,SOSSOU,Justin Fabrice,2010-01-22,M,0404,HOUESSOU Mariam,0112645461
ENR-000121,AN-002676,ACTE_NAISSANCE,AG038,Abomey-Calavi,2025-01-13,ADANDE,Justin Moussa,1981-12-31,M,1005,HOUNKPATIN Rachidatou,
ENR-000122,AN-003792,ACTE_NAISSANCE,AG014,Abomey-Calavi,2025-01-13,DOSSOU,Rodrigue Ibrahim,1995-05-17,M,0203,AHOUANSOU Flore,
ENR-000123,AN-004597,ACTE_NAISSANCE,AG021,Ouidah,2025-01-13,TOSSOU,Mahougnon,1993-07-22,M,0606,ASSOGBA Estelle,0194224866
ENR-000124,AN-000120,ACTE_NAISSANCE,AG004,Parakou,2025-01-14,OSSENI,Rodrigue,2012-12-04,M,0307,KPADONOU Mariam,0157505807
ENR-000125,AN-000124,ACTE_NAISSANCE,AG034,Kandi,2025-01-14,MENSAH,Chimène,2000-01-01,F,0906,ADANDE Sylvie,0131433591
ENR-000126,AN-000151,ACTE_NAISSANCE,AG040,Parakou,2025-01-14,kpadonou,Mahougnon,1989-01-01,M,0403,KPADONOU Espérance,0130654771
ENR-000127,AN-000852,ACTE_NAISSANCE,AG033,Ouidah,2025-01-14,AMOUSSOU,Sèmèvo,1993-06-02,F,0604,HOUNSOU Salamatou,
ENR-000128,AN-001762,ACTE_NAISSANCE,AG001,Cotonou,2025-01-14,DANSOU,Nadège Fatoumata,1990-10-31,F,1202,QUENUM Rosine,0131923820
ENR-000129,AN-004030,ACTE_NAISSANCE,AG016,Parakou,2025-01-14,ZANNOU,Mahougnon,1976-11-14,M,0503,SOSSOU Judith,0196452892
ENR-000130,AN-000145,ACTE_NAISSANCE,AG003,Porto-Novo,2025-01-15,AKPOVI,Estelle,1950-08-08,F,0207,MENSAH Salamatou,0138653519
ENR-000131,AN-000281,ACTE_NAISSANCE,AG012,Aplahoué,2025-01-15,AHOYO,Brice Bienvenu,1954-09-29,M,0308,KPADONOU Rachidatou,0165369540
ENR-000132,CC-000377,CARTE_CONSULAIRE,AG002,Abomey-Calavi,2025-01-15,ZANNOU,Moussa,1967-10-02,M,0605,KOUKPAKI Sèmèvo,
ENR-000133,AN-001518,ACTE_NAISSANCE,AG037,Cotonou,2025-01-15,DOSSOU,Codjo Rachid,2003-03-10,M,1203,IDRISSOU Rosine,0156888595
ENR-000134,AN-001885,ACTE_NAISSANCE,AG030,Natitingou,2025-01-15,LOKONON,Comlan,1975-12-09,M,0603,GBAGUIDI Nadège,
ENR-000135,AN-003000,ACTE_NAISSANCE,AG025,Cotonou,2025-01-15,ALLADAYE,Fidèle Rachid,1981-02-07,M,0703,TOGBE Rosine,0177047858
ENR-000136,AN-003045,ACTE_NAISSANCE,AG007,Djougou,2025-01-15,NOUATIN,Rosine,2000-07-22,F,0202,ADJOVI Salamatou,0137009388
ENR-000137,CC-003554,CARTE_CONSULAIRE,AG040,Parakou,2025-01-15,BIO,Ibrahim Moussa,2001-09-19,M,0601,LOKONON Judith,0196412378
ENR-000138,AN-000604,ACTE_NAISSANCE,AG017,Bohicon,2025-01-16,ZINSOU,Sylvie,1982-05-26,F,0304,YAROU Prudence,0139397394
ENR-000139,AN-001197,ACTE_NAISSANCE,AG018,Natitingou,2025-01-16,IDRISSOU,Fatoumata Bernice,1983-06-22,F,1005,KIKI Estelle,0140536107
ENR-000140,AN-001513,ACTE_NAISSANCE,AG019,Djougou,2025-01-16,ZANNOU,Rachid,1987-10-15,M,1008,NOUATIN Salamatou,0115802998
ENR-000141,AN-002184,ACTE_NAISSANCE,AG021,Ouidah,2025-01-16,ADJOVI,Rosine Gisèle,1971-08-10,F,0201,ZANNOU Prudence,+2290144978238
ENR-000142,CC-002266,CARTE_CONSULAIRE,AG023,Dassa-Zoumè,2025-01-16,CHABI,Serge Justin,1946-03-15,M,1104,ADJOVI Flore,0117461146
ENR-000143,AN-002494,ACTE_NAISSANCE,AG031,Djougou,2025-01-16,LOKONON,Flore Bernice,1961-03-27,F,0503,AHOUANSOU Bernice,0130264981
ENR-000144,AN-002768,ACTE_NAISSANCE,AG017,Bohicon,2025-01-16,SOULEY,Judith Carine,1984-04-25,F,0904,SOULEY Bernice,0168572887
ENR-000145,CC-004131,CARTE_CONSULAIRE,AG030,Natitingou,2025-01-16,HOUESSOU,Moussa Comlan,1990-03-30,M,0502,BONI Bernice,0180099990
ENR-000146,AN-004246,ACTE_NAISSANCE,AG024,Aplahoué,2025-01-16,AKPOVI,Gildas Ulrich,2003-01-19,M,0904,BIO Nadège,0124732655
ENR-000147,AN-000457,ACTE_NAISSANCE,AG005,Bohicon,2025-01-17,CHABI,Comlan,2007-04-07,M,0304,CODJIA Fatoumata,
ENR-000148,AN-002483,ACTE_NAISSANCE,AG019,Djougou,2025-01-17,FASSINOU,Gisèle,2017-09-22,F,0207,TCHIBOZO Flore,0179095968
ENR-000149,AN-002532,ACTE_NAISSANCE,AG010,Kandi,2025-01-17,TOGBE,Fabrice Koffi,2001-11-06,M,0503,HOUNKPATIN Aïcha,0131736188
ENR-000150,AN-002859,ACTE_NAISSANCE,AG010,Kandi,2025-01-17,DOSSOU,Rosine Salamatou,1989-02-10,F,0301,KPADONOU Nadège,0188921227
ENR-000151,AN-003895,ACTE_NAISSANCE,AG035,Dassa-Zoumè,2025-01-17,ALLADAYE,Mariam Estelle,2011-10-12,F,1209,SOSSOU Rosine,0152714705
ENR-000152,AN-000506,ACTE_NAISSANCE,AG007,Djougou,2025-01-18,idrissou,Rosine,1973-09-25,F,0505,TOGBE Judith,0124302301
ENR-000153,AN-000593,ACTE_NAISSANCE,AG037,Cotonou,2025-01-18,MENSAH,Chimène Rachidatou,1980-10-26,F,1001,AMOUSSOU Flore,0124986339
ENR-000154,PP-002162,PASSEPORT,AG027,Porto-Novo,2025-01-18,dossou,Justin,1952-02-02,M,0903,IDRISSOU Aïcha,0110571197
ENR-000155,AN-002206,ACTE_NAISSANCE,AG038,Abomey-Calavi,2025-01-18,codjia,Rodrigue,1955-06-30,M,0703,HOUNGBO Rachidatou,
ENR-000156,PP-002527,PASSEPORT,AG016,Parakou,2025-01-18,ASSOGBA,Estelle Sènami,1957-05-04,F,0405,AMOUSSOU Mariam,
ENR-000157,CC-002587,CARTE_CONSULAIRE,AG015,Porto-Novo,2025-01-18,ADJOVI,Comlan,1961-05-23,M,0102,AHOYO Rachidatou,0170282822
ENR-000158,AN-002636,ACTE_NAISSANCE,AG025,Cotonou,2025-01-18,ZINSOU,Fatoumata,1976-10-11,F,0204,HOUNGBO Salamatou,0153247178
ENR-000159,CC-004056,CARTE_CONSULAIRE,AG005,Bohicon,2025-01-18,DANSOU,Bernice Sèmèvo,2013-04-22,F,0303,BONI Prudence,0164882555
ENR-000160,CC-004213,CARTE_CONSULAIRE,AG035,Dassa-Zoumè,2025-01-18,LOKONON,Sènami,1989-02-01,F,1007,KIKI Aïcha,0142955238
ENR-000161,AN-004432,ACTE_NAISSANCE,AG014,Abomey-Calavi,2025-01-18,CHABI,Mahougnon,1959-03-30,M,0406,HOUNGBO Flore,0181031996
ENR-000162,AN-004862,ACTE_NAISSANCE,AG019,Djougou,2025-01-18,amoussou,Estelle,2003-09-01,F,1204,VODOUNON Chimène,0131276282
ENR-000163,AN-000021,ACTE_NAISSANCE,AG026,Abomey-Calavi,2025-01-19,NOUATIN,Prudence,1987-02-07,F,0603,MENSAH Espérance,0182811265
