id_enrolement,champ,valeur_avant,valeur_apres,source,code_regle,date_correction,statut
ENR-003925,prenoms,ariam,Mariam,pièce AN-000306,R02,2026-09-22,corrigé
ENR-004000,prenoms,Ayaba Aïcha,Aïcha Ayaba,pièce PP-004321,R02,2026-09-22,corrigé
ENR-004136,prenoms,Rachidatou Chimène,Chimène Rachidatou,pièce AN-001716,R02,2026-09-22,corrigé
ENR-004217,prenoms,aFtoumata,Fatoumata,pièce AN-000767,R02,2026-09-22,corrigé
ENR-004395,prenoms,Gildsa,Gildas,pièce AN-002461,R02,2026-09-22,corrigé
ENR-004419,prenoms,Yves Ulrich,Ulrich Yves,pièce AN-002887,R02,2026-09-22,corrigé
ENR-004547,prenoms,Nadège Espérance,Espérance Nadège,pièce CC-000045,R02,2026-09-22,corrigé
ENR-004552,prenoms,Estlele,Estelle,pièce AN-002495,R02,2026-09-22,corrigé
ENR-004575,prenoms,Judit,Judith,pièce CC-004142,R02,2026-09-22,corrigé
ENR-004686,prenoms,Sèèmvo,Sèmèvo,pièce PP-001966,R02,2026-09-22,corrigé
ENR-004710,prenoms,Juustin,Justin,pièce AN-003753,R02,2026-09-22,corrigé
ENR-004809,prenoms,Ghislain Yves,Yves Ghislain,pièce AN-004685,R02,2026-09-22,corrigé
ENR-004863,prenoms,Bienvenu Fidèle,Fidèle Bienvenu,pièce PP-002900,R02,2026-09-22,corrigé
ENR-000002,date_naissance,1902-03-06,1964-02-19,pièce AN-000672,R03,2026-09-22,corrigé
ENR-000056,date_naissance,1999-07-23,1999-07-22,pièce AN-001587,R03,2026-09-22,corrigé
ENR-000061,date_naissance,2001-06-25,2001-05-26,pièce CC-004765,R03,2026-09-22,corrigé
ENR-000303,date_naissance,2025-10-17,1975-06-02,pièce AN-004948,R03,2026-09-22,corrigé
ENR-000304,date_naissance,1972-06-07,1972-07-06,pièce CC-004999,R03,2026-09-22,corrigé
ENR-000493,date_naissance,1982-06-13,1981-06-13,pièce PP-000222,R03,2026-09-22,corrigé
ENR-000584,date_naissance,1894-07-16,1981-09-05,pièce AN-000248,R03,2026-09-22,corrigé
ENR-000587,date_naissance,2025-08-18,1995-12-06,pièce AN-001139,R03,2026-09-22,corrigé
ENR-000698,date_naissance,2005-07-04,2005-06-24,pièce CC-002811,R03,2026-09-22,corrigé
ENR-000727,date_naissance,1993-05-25,1993-05-15,pièce AN-004301,R03,2026-09-22,corrigé
ENR-000803,date_naissance,2025-07-13,1995-11-19,pièce AN-002893,R03,2026-09-22,corrigé
ENR-001059,date_naissance,1979-05-08,1979-08-05,pièce AN-000916,R03,2026-09-22,corrigé
ENR-001082,date_naissance,1900-08-05,1992-11-30,pièce AN-003149,R03,2026-09-22,corrigé
ENR-001113,date_naissance,2014-05-24,2013-05-24,pièce AN-000883,R03,2026-09-22,corrigé
ENR-001137,date_naissance,2010-01-15,2010-01-12,pièce AN-002977,R03,2026-09-22,corrigé
ENR-001153,date_naissance,1991-04-25,1991-03-26,pièce AN-004289,R03,2026-09-22,corrigé
ENR-001194,date_naissance,2003-05-06,2003-06-05,pièce AN-001771,R03,2026-09-22,corrigé
ENR-001219,date_naissance,1998-09-16,1998-09-15,pièce AN-001118,R03,2026-09-22,corrigé
ENR-001232,date_naissance,1971-10-17,1971-10-14,pièce AN-002712,R03,2026-09-22,corrigé
ENR-001233,date_naissance,2026-04-22,1981-02-26,pièce CC-003037,R03,2026-09-22,corrigé
ENR-001254,date_naissance,2008-08-07,2008-07-08,pièce PP-001593,R03,2026-09-22,corrigé
ENR-001295,date_naissance,1994-11-06,1994-11-03,pièce AN-003445,R03,2026-09-22,corrigé
ENR-001357,date_naissance,1891-09-20,2018-08-09,pièce AN-002728,R03,2026-09-22,corrigé
ENR-001360,date_naissance,2008-03-21,2008-03-18,pièce CC-003703,R03,2026-09-22,corrigé
ENR-001375,date_naissance,2002-09-28,2002-09-27,pièce AN-002161,R03,2026-09-22,corrigé
ENR-001468,date_naissance,1961-05-22,1960-05-22,pièce AN-002701,R03,2026-09-22,corrigé
ENR-001507,date_naissance,1997-11-16,1997-11-14,pièce AN-002278,R03,2026-09-22,corrigé
ENR-001601,date_naissance,1903-07-16,2001-06-21,pièce AN-002797,R03,2026-09-22,corrigé
ENR-001679,date_naissance,1987-12-02,1987-02-12,pièce PP-000403,R03,2026-09-22,corrigé
ENR-001681,date_naissance,2026-01-25,1990-08-08,pièce AN-002327,R03,2026-09-22,corrigé
ENR-001700,date_naissance,1962-04-03,1962-03-31,pièce AN-001490,R03,2026-09-22,corrigé
ENR-001802,date_naissance,2026-07-10,1996-02-28,pièce CC-002771,R03,2026-09-22,corrigé
ENR-001826,date_naissance,1998-10-05,1998-05-10,pièce AN-001738,R03,2026-09-22,corrigé
ENR-001827,date_naissance,2021-06-10,2021-10-06,pièce PP-001833,R03,2026-09-22,corrigé
ENR-001998,date_naissance,1955-08-08,1955-07-29,pièce AN-000421,R03,2026-09-22,corrigé
ENR-002044,date_naissance,1979-05-30,1979-05-27,pièce CC-003427,R03,2026-09-22,corrigé
ENR-002048,date_naissance,1999-12-29,1999-12-28,pièce PP-001449,R03,2026-09-22,corrigé
ENR-002058,date_naissance,2026-03-24,2015-04-29,pièce AN-000663,R03,2026-09-22,corrigé
ENR-002223,date_naissance,1998-04-01,1998-03-02,pièce AN-002400,R03,2026-09-22,corrigé
ENR-002297,date_naissance,1968-06-03,1967-06-04,pièce PP-002238,R03,2026-09-22,corrigé
ENR-002336,date_naissance,1968-04-11,1968-11-04,pièce AN-003913,R03,2026-09-22,corrigé
ENR-002407,date_naissance,2011-08-21,2011-08-20,pièce AN-000759,R03,2026-09-22,corrigé
ENR-002562,date_naissance,1997-08-21,1997-08-11,pièce AN-002264,R03,2026-09-22,corrigé
ENR-002653,date_naissance,2015-08-19,2014-08-19,pièce CC-000944,R03,2026-09-22,corrigé
ENR-002724,date_naissance,2026-10-25,2022-05-16,pièce PP-003905,R03,2026-09-22,corrigé
ENR-002787,date_naissance,1993-06-07,1993-07-06,pièce PP-001070,R03,2026-09-22,corrigé
ENR-002847,date_naissance,1998-07-28,1998-07-18,pièce AN-003534,R03,2026-09-22,corrigé
ENR-002877,date_naissance,2014-09-23,2014-09-21,pièce AN-001028,R03,2026-09-22,corrigé
ENR-002914,date_naissance,1987-03-02,1987-02-03,pièce AN-001204,R03,2026-09-22,corrigé
ENR-002968,date_naissance,1965-05-12,1965-12-05,pièce AN-001368,R03,2026-09-22,corrigé
ENR-003013,date_naissance,2026-10-09,2018-11-16,pièce AN-000911,R03,2026-09-22,corrigé
ENR-003140,date_naissance,2005-12-16,2005-12-15,pièce PP-002135,R03,2026-09-22,corrigé
ENR-003262,date_naissance,2026-10-27,1963-07-03,pièce AN-002194,R03,2026-09-22,corrigé
ENR-003285,date_naissance,1993-01-06,1993-01-05,pièce AN-001436,R03,2026-09-22,corrigé
ENR-003373,date_naissance,1900-08-25,1988-01-01,pièce PP-001182,R03,2026-09-22,corrigé
ENR-003387,date_naissance,1988-07-10,1987-07-11,pièce AN-003319,R03,2026-09-22,corrigé
ENR-003533,date_naissance,2001-07-06,2001-06-26,pièce AN-001053,R03,2026-09-22,corrigé
ENR-003571,date_naissance,1947-09-12,1947-09-11,pièce AN-002040,R03,2026-09-22,corrigé
ENR-003630,date_naissance,1889-03-17,1972-12-31,pièce PP-004649,R03,2026-09-22,corrigé
ENR-003662,date_naissance,2016-10-10,2016-09-10,pièce PP-002427,R03,2026-09-22,corrigé
ENR-003832,date_naissance,1996-08-13,1996-08-11,pièce AN-002320,R03,2026-09-22,corrigé
ENR-003936,date_naissance,1982-07-08,1982-08-07,pièce AN-001823,R03,2026-09-22,corrigé
ENR-004043,date_naissance,1997-05-19,1997-05-18,pièce AN-003321,R03,2026-09-22,corrigé
ENR-004102,date_naissance,1893-09-14,2000-06-02,pièce AN-004592,R03,2026-09-22,corrigé
ENR-004104,date_naissance,1969-04-26,1969-04-25,pièce AN-000474,R03,2026-09-22,corrigé
ENR-004147,date_naissance,1944-09-01,1944-01-09,pièce PP-002202,R03,2026-09-22,corrigé
ENR-004166,date_naissance,2026-04-11,1979-09-15,pièce AN-003103,R03,2026-09-22,corrigé
ENR-004316,date_naissance,1979-01-07,1979-07-01,pièce AN-004747,R03,2026-09-22,corrigé
ENR-004469,date_naissance,1886-12-03,1975-12-24,pièce AN-003620,R03,2026-09-22,corrigé
ENR-004569,date_naissance,2011-10-22,2011-10-21,pièce AN-004444,R03,2026-09-22,corrigé
ENR-004670,date_naissance,1981-03-15,1981-02-13,pièce PP-002839,R03,2026-09-22,corrigé
ENR-004671,date_naissance,2027-06-07,1972-07-30,pièce AN-003839,R03,2026-09-22,corrigé
ENR-004719,date_naissance,1949-12-01,1949-11-28,pièce AN-001005,R03,2026-09-22,corrigé
ENR-004730,date_naissance,1992-12-07,1992-11-07,pièce AN-004254,R03,2026-09-22,corrigé
ENR-004749,date_naissance,1900-12-13,2024-03-23,pièce CC-002159,R03,2026-09-22,corrigé
ENR-004781,date_naissance,1975-04-03,1974-04-03,pièce AN-001081,R03,2026-09-22,corrigé
ENR-004894,date_naissance,1971-05-28,1971-05-18,pièce AN-002590,R03,2026-09-22,corrigé
ENR-005045,date_naissance,1971-03-18,1971-03-15,pièce PP-003288,R03,2026-09-22,corrigé
ENR-000345,sexe,M,F,pièce PP-001232,R04,2026-09-22,corrigé
ENR-000568,sexe,M,F,pièce AN-002734,R04,2026-09-22,corrigé
ENR-000748,sexe,M,F,pièce AN-001488,R04,2026-09-22,corrigé
ENR-000776,sexe,M,F,pièce AN-000649,R04,2026-09-22,corrigé
ENR-001566,sexe,M,F,pièce AN-002109,R04,2026-09-22,corrigé
ENR-001651,sexe,M,F,pièce PP-000259,R04,2026-09-22,corrigé
ENR-001901,sexe,F,M,pièce AN-004782,R04,2026-09-22,corrigé
ENR-002016,sexe,F,M,pièce AN-001665,R04,2026-09-22,corrigé
ENR-002079,sexe,M,F,pièce AN-002554,R04,2026-09-22,corrigé
ENR-002139,sexe,F,M,pièce AN-004987,R04,2026-09-22,corrigé
ENR-002399,sexe,M,F,pièce AN-002130,R04,2026-09-22,corrigé
ENR-002465,sexe,F,M,pièce AN-000176,R04,2026-09-22,corrigé
ENR-002852,sexe,M,F,pièce AN-001977,R04,2026-09-22,corrigé
ENR-002899,sexe,M,F,pièce AN-000098,R04,2026-09-22,corrigé
ENR-003170,sexe,F,M,pièce AN-004931,R04,2026-09-22,corrigé
ENR-003431,sexe,M,F,pièce AN-001327,R04,2026-09-22,corrigé
ENR-003784,sexe,F,M,pièce CC-002996,R04,2026-09-22,corrigé
ENR-003863,sexe,F,M,pièce AN-002910,R04,2026-09-22,corrigé
ENR-004311,sexe,M,F,pièce AN-003553,R04,2026-09-22,corrigé
ENR-004342,sexe,F,M,pièce AN-002577,R04,2026-09-22,corrigé
ENR-004457,sexe,F,M,pièce AN-004100,R04,2026-09-22,corrigé
ENR-004629,sexe,M,F,pièce AN-002482,R04,2026-09-22,corrigé
ENR-004653,sexe,F,M,pièce AN-001964,R04,2026-09-22,corrigé
ENR-004684,sexe,F,M,pièce CC-000881,R04,2026-09-22,corrigé
ENR-004915,sexe,F,M,pièce CC-003765,R04,2026-09-22,corrigé
ENR-000086,code_commune_naissance,0399,0304,pièce AN-000895,R05,2026-09-22,corrigé
ENR-000232,code_commune_naissance,0199,1009,pièce CC-001460,R05,2026-09-22,corrigé
ENR-000260,code_commune_naissance,1008,0704,pièce AN-001698,R05,2026-09-22,corrigé
ENR-000504,code_commune_naissance,1001,0402,pièce AN-002443,R05,2026-09-22,corrigé
ENR-000830,code_commune_naissance,0209,1203,pièce AN-000820,R05,2026-09-22,corrigé
ENR-000940,code_commune_naissance,1006,0605,pièce AN-000886,R05,2026-09-22,corrigé
ENR-000960,code_commune_naissance,0201,0405,pièce AN-003944,R05,2026-09-22,corrigé
ENR-001150,code_commune_naissance,0202,0205,pièce AN-001753,R05,2026-09-22,corrigé
ENR-001160,code_commune_naissance,0199,1209,pièce AN-000766,R05,2026-09-22,corrigé
ENR-001206,code_commune_naissance,0199,0102,pièce AN-004503,R05,2026-09-22,corrigé
ENR-001258,code_commune_naissance,0801,0406,pièce AN-003196,R05,2026-09-22,corrigé
ENR-001271,code_commune_naissance,1203,1004,pièce CC-001454,R05,2026-09-22,corrigé
ENR-001276,code_commune_naissance,1299,0502,pièce CC-002946,R05,2026-09-22,corrigé
ENR-001398,code_commune_naissance,0199,1009,pièce AN-002697,R05,2026-09-22,corrigé
ENR-001424,code_commune_naissance,0000,0304,pièce AN-000959,R05,2026-09-22,corrigé
ENR-001511,code_commune_naissance,0606,0104,pièce AN-004983,R05,2026-09-22,corrigé
ENR-001515,code_commune_naissance,0501,0605,pièce CC-001478,R05,2026-09-22,corrigé
ENR-001667,code_commune_naissance,1102,1006,pièce PP-003027,R05,2026-09-22,corrigé
ENR-001695,code_commune_naissance,1104,0904,pièce AN-003856,R05,2026-09-22,corrigé
ENR-001926,code_commune_naissance,1007,0204,pièce AN-003787,R05,2026-09-22,corrigé
ENR-002036,code_commune_naissance,0905,0306,pièce CC-004331,R05,2026-09-22,corrigé
ENR-002289,code_commune_naissance,0606,0203,pièce AN-003894,R05,2026-09-22,corrigé
ENR-002603,code_commune_naissance,0399,0604,pièce AN-003938,R05,2026-09-22,corrigé
ENR-002626,code_commune_naissance,0407,0403,pièce CC-003441,R05,2026-09-22,corrigé
ENR-002648,code_commune_naissance,0105,0408,pièce AN-000660,R05,2026-09-22,corrigé
ENR-002827,code_commune_naissance,9999,0405,pièce AN-003797,R05,2026-09-22,corrigé
ENR-002944,code_commune_naissance,0505,0307,pièce AN-004924,R05,2026-09-22,corrigé
ENR-003153,code_commune_naissance,0105,0405,pièce AN-003561,R05,2026-09-22,corrigé
ENR-003346,code_commune_naissance,0406,0204,pièce AN-003272,R05,2026-09-22,corrigé
ENR-003422,code_commune_naissance,0407,1002,pièce AN-001768,R05,2026-09-22,corrigé
ENR-003510,code_commune_naissance,1201,0106,pièce AN-000967,R05,2026-09-22,corrigé
ENR-003540,code_commune_naissance,0902,0102,pièce CC-002640,R05,2026-09-22,corrigé
ENR-003570,code_commune_naissance,0399,0905,pièce PP-001394,R05,2026-09-22,corrigé
ENR-003582,code_commune_naissance,0399,0207,pièce AN-004116,R05,2026-09-22,corrigé
ENR-003914,code_commune_naissance,9999,0302,pièce PP-000514,R05,2026-09-22,corrigé
ENR-003919,code_commune_naissance,0202,0506,pièce AN-002833,R05,2026-09-22,corrigé
ENR-003973,code_commune_naissance,0399,0703,pièce AN-000439,R05,2026-09-22,corrigé
ENR-004082,code_commune_naissance,0000,0606,pièce PP-001202,R05,2026-09-22,corrigé
ENR-004170,code_commune_naissance,9999,0703,pièce AN-004727,R05,2026-09-22,corrigé
ENR-004213,code_commune_naissance,0201,0207,pièce PP-003448,R05,2026-09-22,corrigé
ENR-004244,code_commune_naissance,1299,0801,pièce AN-000230,R05,2026-09-22,corrigé
ENR-004310,code_commune_naissance,1004,0306,pièce AN-003444,R05,2026-09-22,corrigé
ENR-004313,code_commune_naissance,0208,1006,pièce CC-003690,R05,2026-09-22,corrigé
ENR-004319,code_commune_naissance,0199,0504,pièce AN-001345,R05,2026-09-22,corrigé
ENR-004408,code_commune_naissance,0199,1102,pièce AN-003008,R05,2026-09-22,corrigé
ENR-004412,code_commune_naissance,0405,0703,pièce AN-004156,R05,2026-09-22,corrigé
ENR-004514,code_commune_naissance,1202,0102,pièce CC-000180,R05,2026-09-22,corrigé
ENR-004558,code_commune_naissance,1299,0504,pièce CC-001892,R05,2026-09-22,corrigé
ENR-004618,code_commune_naissance,9999,0205,pièce PP-003061,R05,2026-09-22,corrigé
ENR-004627,code_commune_naissance,0199,0408,pièce AN-002064,R05,2026-09-22,corrigé
ENR-004638,code_commune_naissance,0199,1207,pièce AN-001133,R05,2026-09-22,corrigé
ENR-004678,code_commune_naissance,9999,0502,pièce AN-002992,R05,2026-09-22,corrigé
ENR-004836,code_commune_naissance,0305,0606,pièce AN-000203,R05,2026-09-22,corrigé
ENR-004925,code_commune_naissance,9999,0704,pièce AN-002650,R05,2026-09-22,corrigé
ENR-004931,code_commune_naissance,0000,0406,pièce PP-001079,R05,2026-09-22,corrigé
ENR-005018,code_commune_naissance,0199,0206,pièce AN-004591,R05,2026-09-22,corrigé
ENR-005043,code_commune_naissance,0408,0602,pièce AN-001888,R05,2026-09-22,corrigé
ENR-000303,date_naissance,2025-10-17,1975-06-02,pièce AN-004948,R06,2026-09-22,corrigé
ENR-000587,date_naissance,2025-08-18,1995-12-06,pièce AN-001139,R06,2026-09-22,corrigé
ENR-000803,date_naissance,2025-07-13,1995-11-19,pièce AN-002893,R06,2026-09-22,corrigé
ENR-001233,date_naissance,2026-04-22,1981-02-26,pièce CC-003037,R06,2026-09-22,corrigé
ENR-001681,date_naissance,2026-01-25,1990-08-08,pièce AN-002327,R06,2026-09-22,corrigé
ENR-001802,date_naissance,2026-07-10,1996-02-28,pièce CC-002771,R06,2026-09-22,corrigé
ENR-002058,date_naissance,2026-03-24,2015-04-29,pièce AN-000663,R06,2026-09-22,corrigé
ENR-002724,date_naissance,2026-10-25,2022-05-16,pièce PP-003905,R06,2026-09-22,corrigé
ENR-003013,date_naissance,2026-10-09,2018-11-16,pièce AN-000911,R06,2026-09-22,corrigé
ENR-003262,date_naissance,2026-10-27,1963-07-03,pièce AN-002194,R06,2026-09-22,corrigé
ENR-004166,date_naissance,2026-04-11,1979-09-15,pièce AN-003103,R06,2026-09-22,corrigé
ENR-004671,date_naissance,2027-06-07,1972-07-30,pièce AN-003839,R06,2026-09-22,corrigé
ENR-000002,date_naissance,1902-03-06,1964-02-19,pièce AN-000672,R07,2026-09-22,corrigé
ENR-000584,date_naissance,1894-07-16,1981-09-05,pièce AN-000248,R07,2026-09-22,corrigé
ENR-001082,date_naissance,1900-08-05,1992-11-30,pièce AN-003149,R07,2026-09-22,corrigé
ENR-001357,date_naissance,1891-09-20,2018-08-09,pièce AN-002728,R07,2026-09-22,corrigé
ENR-001601,date_naissance,1903-07-16,2001-06-21,pièce AN-002797,R07,2026-09-22,corrigé
ENR-003373,date_naissance,1900-08-25,1988-01-01,pièce PP-001182,R07,2026-09-22,corrigé
ENR-003630,date_naissance,1889-03-17,1972-12-31,pièce PP-004649,R07,2026-09-22,corrigé
ENR-004102,date_naissance,1893-09-14,2000-06-02,pièce AN-004592,R07,2026-09-22,corrigé
ENR-004469,date_naissance,1886-12-03,1975-12-24,pièce AN-003620,R07,2026-09-22,corrigé
ENR-004749,date_naissance,1900-12-13,2024-03-23,pièce CC-002159,R07,2026-09-22,corrigé
ENR-000086,code_commune_naissance,0399,0304,pièce AN-000895,R08,2026-09-22,corrigé
ENR-000232,code_commune_naissance,0199,1009,pièce CC-001460,R08,2026-09-22,corrigé
ENR-001160,code_commune_naissance,0199,1209,pièce AN-000766,R08,2026-09-22,corrigé
ENR-001206,code_commune_naissance,0199,0102,pièce AN-004503,R08,2026-09-22,corrigé
ENR-001276,code_commune_naissance,1299,0502,pièce CC-002946,R08,2026-09-22,corrigé
ENR-001398,code_commune_naissance,0199,1009,pièce AN-002697,R08,2026-09-22,corrigé
ENR-001424,code_commune_naissance,0000,0304,pièce AN-000959,R08,2026-09-22,corrigé
ENR-002603,code_commune_naissance,0399,0604,pièce AN-003938,R08,2026-09-22,corrigé
ENR-002827,code_commune_naissance,9999,0405,pièce AN-003797,R08,2026-09-22,corrigé
ENR-003570,code_commune_naissance,0399,0905,pièce PP-001394,R08,2026-09-22,corrigé
ENR-003582,code_commune_naissance,0399,0207,pièce AN-004116,R08,2026-09-22,corrigé
